experiment,target_variant,model,fold,rows,predictors,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
ieq_5240_three_vs_five_extra_trees,three_class,Extra Trees,1,1048,21,5.7584147000161465,0.12428790002013557,5.882702600036282,0.7299618320610687,0.627021976202304,0.6159153981415226,0.7307802617638025,0.3139312977099237
ieq_5240_three_vs_five_extra_trees,three_class,Extra Trees,2,1048,21,6.624587500002235,0.15323619998525828,6.7778236999874935,0.700381679389313,0.5899943588468178,0.5898924942357332,0.7004998616833966,0.3387404580152672
ieq_5240_three_vs_five_extra_trees,three_class,Extra Trees,3,1048,21,6.495463900006143,0.15108320000581443,6.646547100011958,0.7595419847328244,0.6470913638096301,0.6454400564041564,0.7600272687257988,0.2738549618320611
ieq_5240_three_vs_five_extra_trees,three_class,Extra Trees,4,1048,21,6.134468800009927,0.1352560999803245,6.269724899990251,0.7356870229007634,0.6461151554030811,0.6437187157023029,0.7350584914723367,0.2948473282442748
ieq_5240_three_vs_five_extra_trees,three_class,Extra Trees,5,1048,21,6.1021713000081945,0.15659639998921193,6.2587676999974065,0.7299618320610687,0.60437372356877,0.6143850084160039,0.7245816712013604,0.29961832061068705
ieq_5240_three_vs_five_extra_trees,five_class,Extra Trees,1,1048,21,6.4663053000112996,0.17034359998069704,6.636648899991997,0.6049618320610687,0.5325870013266369,0.512615102884592,0.6013003889091226,0.5276717557251909
ieq_5240_three_vs_five_extra_trees,five_class,Extra Trees,2,1048,21,6.683549300010782,0.1089059000078123,6.792455200018594,0.6097328244274809,0.5466909988633135,0.518989812767021,0.6114265583734659,0.5400763358778626
ieq_5240_three_vs_five_extra_trees,five_class,Extra Trees,3,1048,21,6.70162189999246,0.14310779998777434,6.844729699980235,0.6354961832061069,0.5144460578488472,0.5018558294550906,0.63815131158212,0.5209923664122137
ieq_5240_three_vs_five_extra_trees,five_class,Extra Trees,4,1048,21,6.49714920000406,0.1504166999948211,6.647565899998881,0.5973282442748091,0.5376443698161915,0.513880389642156,0.5970261569236773,0.5562977099236641
ieq_5240_three_vs_five_extra_trees,five_class,Extra Trees,5,1048,21,6.479019599995809,0.149553700000979,6.628573299996788,0.575381679389313,0.533655839106743,0.5050012124497133,0.5712755158340284,0.5534351145038168
