class,rows,percent,three_class_mapping
1,99,1.4486391571553994,dissatisfied
2,385,5.6335967222709975,dissatisfied
3,1855,27.14369329821481,neutral
4,2456,35.937957272461226,satisfied
5,2039,29.83611354989757,satisfied
