experiment,variant,cv_splits,model,rows,predictors,note,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,train_rows_after_sampling_mean,train_rows_after_sampling_std,macro_f1_delta_vs_main,accuracy_delta_vs_main,balanced_accuracy_delta_vs_main,ordinal_mae_delta_vs_main,same_population_as_main,decision,decision_label,method,selection_note
baseline,main_all_school_extra_trees,5,Extra Trees,6834,20,Tuned Extra Trees on the full imputed all-school dataset.,0.5909837172282779,0.025352505534137138,0.7225624718179297,0.007120975601611452,0.5917575600261822,0.03174804469539527,0.314749786057252,0.008692223821256725,8.122752640000545,0.2601911954705076,0.1442218799958937,0.007016047233568146,8.266974519996438,0.2630284330482745,5467.2,0.4472135955000088,0.0,0.0,0.0,0.0,True,REFERENCE,REFERENCE - baseline or validation check,Baseline Extra Trees,reference baseline
feature_engineering,threshold_flags_co2_1000_t18_t24,5,Extra Trees,6834,23,Adds binary CO2 and temperature threshold indicators.,0.587912388331112,0.027871865321296055,0.7189041847094395,0.007183420194002336,0.5902655018437166,0.034395162179167243,0.3189935104925664,0.007543662979287317,7.588947019999614,0.5122643411523984,0.13269042000174522,0.00811239465706982,7.721637440001359,0.5130184804004408,5467.2,0.4472135955000088,-0.0030713288971658814,-0.0036582871084901436,-0.001492058182465561,0.0042437244353144,True,REJECTED,REJECTED after testing,Manual threshold features,best variant in this method by macro F1
missingness_indicators,imputation_indicators,5,Extra Trees,6834,31,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.6040254121825793,0.022080957624108815,0.7300247091824549,0.00811714135145109,0.6064507955136177,0.027848890865270173,0.3065554842710577,0.0061864519956205755,8.209550899994792,0.7745408279362171,0.136501540010795,0.011089585706829322,8.346052440005588,0.7777106717470407,5467.2,0.4472135955000088,0.013041694954301408,0.007462237364525226,0.014693235487435508,-0.008194301786194291,True,APPLIED,APPLIED to final optimized model,Imputation indicators,best variant in this method by macro F1
ordinal_classification,ordinal_extra_trees_decomposition,5,Extra Trees,6834,20,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.5863716264081678,0.02233573820482149,0.7306105749303013,0.0046017321900553776,0.5851552418584243,0.027905052670414526,0.31035954163234836,0.00347558811872188,15.38588411998935,1.101063542854091,0.29824711999972353,0.041334753008692694,15.684131239989075,1.1380046472664882,5467.2,0.4472135955000088,-0.00461209082011016,0.008048103112371696,-0.006602318167757915,-0.004390244424903655,True,REJECTED,REJECTED after testing,Ordinal target decomposition,best variant in this method by macro F1
class_weight_search,class_weight_dissatisfied_3_neutral_2,5,Extra Trees,6834,20,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5966373939710092,0.029307860279343772,0.7360245313877307,0.009374989296352538,0.5765461411264989,0.02854752602986978,0.29719073625223713,0.008655154116714726,7.1487123400031125,0.3107247696545142,0.1333568399946671,0.022445751760723345,7.282069179997779,0.3326448128772136,5467.2,0.4472135955000088,0.005653676742731317,0.013462059569801066,-0.015211418899683249,-0.01755904980501488,True,APPLIED,APPLIED to final optimized model,Class-weight screen,best variant in this method by macro F1
class_weight_threshold_tuning,best_class_weight_nested_threshold,5,Extra Trees,6834,20,Nested inner-fold probability multiplier tuning applied to class_weight_dissatisfied_3_neutral_2.,0.5986991444638652,0.019633139188853992,0.7215390811011705,0.008200049960288102,0.5932227855487661,0.024000791379158917,0.311675543907264,0.01096202958045609,6.883144219999667,0.6200526281662165,0.12550655999802984,0.006484294493773918,7.008650779997697,0.6248830314519406,5467.2,0.4472135955000088,0.007715427235587269,-0.001023390716759165,0.0014652255225838795,-0.003074242149988027,True,APPLIED,APPLIED to final optimized model,Nested probability thresholds,best variant in this method by macro F1
complete_case_filter,complete_main_ieq_sensors,5,Extra Trees,5349,20,"Rows with originally observed Temperature, RH, CO2, Lighting, and Sound.",0.6044090660687355,0.01914848957891714,0.7205103905300613,0.021434957032267377,0.6067580512409572,0.014098812219110956,0.31613124327915865,0.02701277194872768,6.614131199993426,0.3868926653302165,0.12570727999554948,0.012747331500154616,6.7398384799889755,0.3937127844070613,4279.2,0.4472135955000088,0.01342534884045754,-0.002052081287868379,0.01500049121477498,0.0013814572219066346,False,REJECTED,REJECTED after testing,Complete-case sensor checks,best variant in this method by macro F1
train_fold_class_balancing,random_oversample_to_50pct_majority,5,Extra Trees,6834,20,Randomly duplicates minority-class training records up to 50 percent of the majority-class count.,0.5937090128254938,0.01779312782102539,0.7187580931408724,0.006530759560734921,0.6029225249632417,0.022067504913384814,0.322944409159213,0.005387732778996885,11.093093180010328,0.8397387686105036,0.15483143999590537,0.008267304598701682,11.247924620006234,0.8391457878125722,7192.0,0.0,0.0027252955972159043,-0.0038043786770572963,0.01116496493705954,0.008194623101961007,True,REJECTED,REJECTED after testing,Train-fold class balancing,best variant in this method by macro F1
