experiment_group,data_variant,sampling_variant,model,rows,predictors,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,data_description,sampling_description,class_weight_mode
extra_trees_data_quality_screen_700_trees,complete_lighting_sound_ttrend,none,Extra Trees,2314,21,0.7095901938234552,0.010549049566962784,0.6177431991934941,0.030182693911151224,0.6150257119809914,0.02268435475116001,0.7094598883810237,0.012466648248194778,0.3241133956036764,0.007117457266688367,2.021928099996876,0.048418295329428936,0.05254370000911877,0.0019372318855751655,2.0744718000059947,0.047387724971920765,"Rows with complete original Lighting, Sound, and Ttrend values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_main_ieq_sensors,none,Extra Trees,5349,21,0.7255588680136034,0.01648904034299462,0.6140087607740458,0.01749867640694385,0.6119888025148759,0.020382261768575608,0.7246727236420517,0.014253773199003067,0.30977400487834733,0.021308605536653338,4.147144980006852,0.10647742750712275,0.09431482000509277,0.0014642580940684713,4.241459800011944,0.10759672039268527,"Rows with complete original Temperature, RH, CO2, Lighting, and Sound values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_main_ieq_sensors,none,Random Forest,5349,21,0.7042464352220172,0.010579660324294726,0.5918813323713715,0.00746066612968365,0.5873727434258589,0.008211611858723225,0.702988981628088,0.009011156330383017,0.3344516230558737,0.013302246394116054,0.9815622600028291,0.009962525443303899,0.04189471998251974,0.00036919137430433194,1.0234569799853488,0.010174336674006095,"Rows with complete original Temperature, RH, CO2, Lighting, and Sound values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_lighting_sound_ttrend,none,Random Forest,2314,21,0.6706974091423336,0.015687938671943156,0.5873958903627046,0.03354021808798089,0.5783552012240627,0.025077256835963273,0.6724738735050064,0.01786913181089554,0.3690574364440455,0.018589563138017528,0.4918211399926804,0.004754866031839077,0.023449760011862962,0.00039516631350577225,0.5152709000045433,0.00492699749030777,"Rows with complete original Lighting, Sound, and Ttrend values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_lighting_sound_ttrend,none,ANN / MLP,2314,21,0.6577309659383094,0.0102759593098931,0.5287373160112857,0.011933249619792396,0.536454325878293,0.015989843043978918,0.6510028796535081,0.008415989881538822,0.3854739932493712,0.013768179141601545,0.7537782200030051,0.0990961137670553,0.004780960001517088,0.000821120763641051,0.7585591800045222,0.09875676663344053,"Rows with complete original Lighting, Sound, and Ttrend values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_main_ieq_sensors,none,ANN / MLP,5349,21,0.6831168967416487,0.014321327825035023,0.5167704510111203,0.025614970630645616,0.534011347674831,0.02641376015651618,0.6696983395439059,0.016781081435813017,0.3548354213475779,0.01624589654608561,0.9516687599942089,0.19098807059425574,0.005366420000791549,0.0005910964423193148,0.9570351799950003,0.19144510052167973,"Rows with complete original Temperature, RH, CO2, Lighting, and Sound values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_lighting_sound_ttrend,none,Gradient boosting,2314,21,0.6763148298785447,0.01916678478782375,0.5153551401824291,0.03351159059704623,0.5301883137798926,0.045566563873356496,0.6576345816206508,0.022862990189992327,0.3582573653847952,0.02408106066112845,0.3337053999886848,0.007584711120035701,0.004861559998244047,0.0005191952531770318,0.3385669599869289,0.007984193587264854,"Rows with complete original Lighting, Sound, and Ttrend values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_main_ieq_sensors,none,Gradient boosting,5349,21,0.6892887929150311,0.008583018747617039,0.4730446160915003,0.006584641589327319,0.49679124550072,0.009955708668015751,0.6482776315489953,0.00900416659702429,0.35352281370483374,0.007445888720658377,0.5272762400098145,0.007213093245578928,0.006200339994393289,0.0006124504127273502,0.5334765800042078,0.007668233123279913,"Rows with complete original Temperature, RH, CO2, Lighting, and Sound values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_lighting_sound_ttrend,none,Logistic regression,2314,21,0.5194328349835909,0.022351596379804366,0.5151434265133636,0.04503263189728745,0.45336985303607974,0.024493761747800838,0.5498727527201239,0.02419480039599381,0.6076145596663955,0.018204244018666577,0.0601243800134398,0.004160329598420887,0.003588159999344498,0.0002888952123585203,0.0637125400127843,0.004310840073050402,"Rows with complete original Lighting, Sound, and Ttrend values before imputation.",No train-fold resampling.,configured
extra_trees_data_quality_screen_700_trees,complete_main_ieq_sensors,none,Logistic regression,5349,21,0.5191638617626746,0.015094449892954633,0.5146623518443559,0.023906145286185385,0.44214299542190416,0.016000688914118582,0.5525954830773544,0.013579644358899788,0.6146930925050051,0.02217659479118111,0.08959105999674648,0.0355464060017704,0.004262540012132376,0.0003674039309344287,0.09385360000887885,0.03563391935446068,"Rows with complete original Temperature, RH, CO2, Lighting, and Sound values before imputation.",No train-fold resampling.,configured
