experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae
ordinal_classification,ordinal_extra_trees_decomposition,1,5,Extra Trees,6834,5467,20,8.319699999992736,0.15716890001203865,8.476868900004774,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.6006088756277793,0.7322604242867593,0.6037898537063898,0.3152889539136796
ordinal_classification,ordinal_extra_trees_decomposition,2,5,Extra Trees,6834,5467,20,7.709734900039621,0.1339121000492014,7.843647000088822,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.588417019984394,0.7300658376005852,0.59443545813865,0.3094367227505486
ordinal_classification,ordinal_extra_trees_decomposition,3,5,Extra Trees,6834,5467,20,7.838729800016154,0.1416530999704264,7.98038289998658,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.5902834523077242,0.7322604242867593,0.5868785641385208,0.3108997805413314
ordinal_classification,ordinal_extra_trees_decomposition,4,5,Extra Trees,6834,5467,20,7.209157900011633,0.1635582000017166,7.372716100013349,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.5997415404117473,0.7322604242867593,0.5992416369117102,0.31236283833211415
ordinal_classification,ordinal_extra_trees_decomposition,5,5,Extra Trees,6834,5468,20,9.483676600037143,0.14341620000777766,9.62709280004492,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.5514670643712115,0.7232796486090776,0.5420941240824969,0.30600292825768666
ordinal_classification,ordinal_random_forest_decomposition,1,5,Random Forest,6834,5467,20,3.183157699997537,0.12065300001995638,3.303810700017493,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.5372007028122039,0.7015362106803219,0.5434386200867101,0.35552304316020483
ordinal_classification,ordinal_random_forest_decomposition,2,5,Random Forest,6834,5467,20,3.6278344000456855,0.11536199995316565,3.743196399998851,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.5507427448377958,0.7117776152158011,0.5605654532335911,0.3321141185076811
ordinal_classification,ordinal_random_forest_decomposition,3,5,Random Forest,6834,5467,20,3.114368900016416,0.10297519998857751,3.2173441000049934,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.5585032054341518,0.7205559619604974,0.565542531688538,0.33430870519385514
ordinal_classification,ordinal_random_forest_decomposition,4,5,Random Forest,6834,5467,20,2.9422848999965936,0.09353409998584539,3.035818999982439,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.555899431548572,0.7132406730065838,0.5643726617011896,0.34162399414776884
ordinal_classification,ordinal_random_forest_decomposition,5,5,Random Forest,6834,5468,20,2.8410867999773473,0.08342870004707947,2.9245155000244267,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.5377181742172708,0.712298682284041,0.5356811905578093,0.3191800878477306
