experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,log_loss,brier_ovr,recall_dissatisfied,recall_neutral,recall_satisfied
probability_calibration,main_all_school_extra_trees,1,5,Extra Trees,6834,5467,20,5.933363399992231,0.12328889998025261,6.056652299972484,Uncalibrated final Extra Trees probabilities.,0.6140635950187906,0.7278712509144111,0.6230999619718071,0.3130943672275055,0.6721867495350439,0.12936327225876296,0.5051546391752577,0.5309973045822103,0.8331479421579533
probability_calibration,main_all_school_extra_trees,2,5,Extra Trees,6834,5467,20,6.4920369000174105,0.18675349999102764,6.678790400008438,Uncalibrated final Extra Trees probabilities.,0.604602096895122,0.7307973664959766,0.6076718018069784,0.302121433796635,0.6759503164364967,0.13131886022403824,0.4536082474226804,0.522911051212938,0.8464961067853171
probability_calibration,main_all_school_extra_trees,3,5,Extra Trees,6834,5467,20,6.7758171999885235,0.11829780001426116,6.894115000002785,Uncalibrated final Extra Trees probabilities.,0.5956899178820491,0.723482077542063,0.5948675447100181,0.3174835405998537,0.673584012290945,0.13050171484812242,0.41237113402061853,0.5390835579514824,0.8331479421579533
probability_calibration,main_all_school_extra_trees,4,5,Extra Trees,6834,5467,20,6.743272599996999,0.14557829999830574,6.888850899995305,Uncalibrated final Extra Trees probabilities.,0.5923444007583956,0.7161667885881492,0.5941248672596197,0.3262618873445501,0.6832669547927633,0.13373833422110915,0.4329896907216495,0.522911051212938,0.8264738598442715
probability_calibration,main_all_school_extra_trees,5,5,Extra Trees,6834,5468,20,7.413714499998605,0.13175159998354502,7.54546609998215,Uncalibrated final Extra Trees probabilities.,0.5482185755870321,0.7144948755490483,0.5390236243824874,0.31478770131771594,0.6906126739174632,0.13339924875668124,0.28125,0.477088948787062,0.8587319243604005
probability_calibration,calibrated_sigmoid_extra_trees,1,5,Extra Trees,6834,5467,20,17.36709640000481,0.6044870000041556,17.971583400008967,Extra Trees probabilities calibrated with CalibratedClassifierCV sigmoid calibration.,0.2644895557516917,0.6576444769568398,0.3333333333333333,0.4133138258961229,0.814659403285472,0.16883159507996612,0.0,0.0,1.0
probability_calibration,calibrated_sigmoid_extra_trees,2,5,Extra Trees,6834,5467,20,18.15451480000047,0.7143831999856047,18.868897999986075,Extra Trees probabilities calibrated with CalibratedClassifierCV sigmoid calibration.,0.2644895557516917,0.6576444769568398,0.3333333333333333,0.4133138258961229,0.8248340723186105,0.17059395013222187,0.0,0.0,1.0
probability_calibration,calibrated_sigmoid_extra_trees,3,5,Extra Trees,6834,5467,20,19.004324099980295,1.6300550000160001,20.634379099996295,Extra Trees probabilities calibrated with CalibratedClassifierCV sigmoid calibration.,0.2644895557516917,0.6576444769568398,0.3333333333333333,0.4133138258961229,0.8006685259220351,0.16437343587588846,0.0,0.0,1.0
probability_calibration,calibrated_sigmoid_extra_trees,4,5,Extra Trees,6834,5467,20,17.807262800022727,0.5031090999837033,18.31037190000643,Extra Trees probabilities calibrated with CalibratedClassifierCV sigmoid calibration.,0.2644895557516917,0.6576444769568398,0.3333333333333333,0.4133138258961229,0.8018301657390992,0.1650091207972337,0.0,0.0,1.0
probability_calibration,calibrated_sigmoid_extra_trees,5,5,Extra Trees,6834,5468,20,15.255558900011238,0.43758290002006106,15.693141800031299,Extra Trees probabilities calibrated with CalibratedClassifierCV sigmoid calibration.,0.26460632818248714,0.6581259150805271,0.3333333333333333,0.41215226939970717,0.8147294524575653,0.16755446257177034,0.0,0.0,1.0
probability_calibration,calibrated_isotonic_extra_trees,1,5,Extra Trees,6834,5467,20,13.682993299997179,0.40764580000541173,14.09063910000259,Extra Trees probabilities calibrated with CalibratedClassifierCV isotonic calibration.,0.4139215053800069,0.6876371616678859,0.4156276760387014,0.37161667885881494,0.7114130468811994,0.14191716758192408,0.15463917525773196,0.1078167115902965,0.9844271412680756
probability_calibration,calibrated_isotonic_extra_trees,2,5,Extra Trees,6834,5467,20,15.979493600025307,0.5006258000212256,16.480119400046533,Extra Trees probabilities calibrated with CalibratedClassifierCV isotonic calibration.,0.34459222357681146,0.6693489392831017,0.3738171157448104,0.39575713240673005,0.7151835420189805,0.14205850305089224,0.08247422680412371,0.05121293800539083,0.9877641824249166
probability_calibration,calibrated_isotonic_extra_trees,3,5,Extra Trees,6834,5467,20,15.853610799997114,0.533125599991763,16.386736399988877,Extra Trees probabilities calibrated with CalibratedClassifierCV isotonic calibration.,0.3148801996391657,0.6693489392831017,0.3583883992055426,0.3950256035113387,0.7193349399083544,0.1434750936595939,0.041237113402061855,0.03504043126684636,0.9988876529477196
probability_calibration,calibrated_isotonic_extra_trees,4,5,Extra Trees,6834,5467,20,15.218001799978083,0.5240446999960113,15.742046499974094,Extra Trees probabilities calibrated with CalibratedClassifierCV isotonic calibration.,0.38987365224733006,0.6869056327724945,0.3980189092919982,0.37527432333577176,0.7083155846509686,0.1410942677941255,0.08247422680412371,0.1293800539083558,0.982202447163515
probability_calibration,calibrated_isotonic_extra_trees,5,5,Extra Trees,6834,5468,20,15.103062900016084,0.5557104999898002,15.658773400005884,Extra Trees probabilities calibrated with CalibratedClassifierCV isotonic calibration.,0.3183883200353624,0.6676427525622255,0.35801162842411505,0.3967789165446559,0.7310393974294,0.14478944116545497,0.03125,0.05390835579514825,0.9888765294771968
