class,precision,recall,f1,support,three_class_mapping
1,0.19285714285714287,0.2727272727272727,0.22594142259414227,99,dissatisfied
2,0.31788079470198677,0.37402597402597404,0.3436754176610978,385,dissatisfied
3,0.5731933292155652,0.5002695417789758,0.5342544617156016,1855,neutral
4,0.6230870135548754,0.5802117263843648,0.6008855154965211,2456,satisfied
5,0.6312633832976445,0.7229033840117705,0.6739826245999085,2039,satisfied
