experiment,training_population,evaluation_population,rows,predictors,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
all_school_tuned_extra_trees_oof,All schools,All rows,6834,21,0.7247585601404741,0.5964088468498744,0.5976637074647136,0.7225963449873403,0.3124085455077553
all_school_tuned_extra_trees_oof,All schools,Primary school,5101,21,0.7576945696922172,0.61066840090721,0.6139404348638106,0.7509563377183336,0.28249362870025485
all_school_tuned_extra_trees_oof,All schools,Secondary school,834,21,0.5719424460431655,0.49835160103640935,0.5001421366557318,0.5624982704084631,0.45443645083932854
all_school_tuned_extra_trees_oof,All schools,Test lecture room,899,21,0.6796440489432704,0.4933544093712898,0.502540772606033,0.6729288162440515,0.3503893214682981
