variant,decision_label,model,cv_splits,rows,predictors,same_population_as_main,macro_f1_mean,macro_f1_delta_vs_main,accuracy_mean,accuracy_delta_vs_main,balanced_accuracy_mean,balanced_accuracy_delta_vs_main,ordinal_mae_mean,ordinal_mae_delta_vs_main
main_all_school_extra_trees,REFERENCE - baseline or validation check,Extra Trees,5,6834,20,True,0.592314,0.0,0.723294,0.0,0.593757,0.0,0.313725,0.0
ordinal_extra_trees_decomposition,REJECTED after testing,Extra Trees,5,6834,20,True,0.586104,-0.00621,0.730025,0.006731,0.585288,-0.008469,0.310798,-0.002927
ordinal_random_forest_decomposition,REJECTED after testing,Random Forest,5,6834,20,True,0.548013,-0.044301,0.711882,-0.011412,0.55392,-0.039837,0.33655,0.022825
