experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,class_weight,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
class_weight_search,class_weight_balanced,1,5,Extra Trees,6834,5467,20,8.1768427999923,0.1762573999876622,8.353100199979963,Baseline Extra Trees balanced class weights.,balanced,0.6140635950187906,0.7278712509144111,0.6230999619718071,0.3130943672275055,0.5051546391752577,0.5309973045822103,0.8331479421579533
class_weight_search,class_weight_balanced,2,5,Extra Trees,6834,5467,20,8.456347400002414,0.19104700000025332,8.647394400002668,Baseline Extra Trees balanced class weights.,balanced,0.604602096895122,0.7307973664959766,0.6076718018069784,0.302121433796635,0.4536082474226804,0.522911051212938,0.8464961067853171
class_weight_search,class_weight_balanced,3,5,Extra Trees,6834,5467,20,8.766080900008092,0.16002959999605082,8.926110500004143,Baseline Extra Trees balanced class weights.,balanced,0.5956899178820491,0.723482077542063,0.5948675447100181,0.3174835405998537,0.41237113402061853,0.5390835579514824,0.8331479421579533
class_weight_search,class_weight_balanced,4,5,Extra Trees,6834,5467,20,8.485301700013224,0.15828919998602942,8.643590899999253,Baseline Extra Trees balanced class weights.,balanced,0.5923444007583956,0.7161667885881492,0.5941248672596197,0.3262618873445501,0.4329896907216495,0.522911051212938,0.8264738598442715
class_weight_search,class_weight_balanced,5,5,Extra Trees,6834,5468,20,7.702667699981248,0.1602341000107117,7.86290179999196,Baseline Extra Trees balanced class weights.,balanced,0.5482185755870321,0.7144948755490483,0.5390236243824874,0.31478770131771594,0.28125,0.477088948787062,0.8587319243604005
class_weight_search,class_weight_equal_1_1_1,1,5,Extra Trees,6834,5467,20,7.8647774000128265,0.15595870002289303,8.02073610003572,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5804393251923828,0.7425018288222385,0.5441750949924353,0.2991953182150695,0.26804123711340205,0.4501347708894879,0.914349276974416
class_weight_search,class_weight_equal_1_1_1,2,5,Extra Trees,6834,5467,20,7.757961600000272,0.2126705000118818,7.970632100012153,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5452646436132675,0.737381126554499,0.5181098489001389,0.2940746159473299,0.18556701030927836,0.4555256064690027,0.9132369299221357
class_weight_search,class_weight_equal_1_1_1,3,5,Extra Trees,6834,5467,20,8.748551099997712,0.160144900000887,8.9086959999986,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5699041770261651,0.737381126554499,0.5357750258330318,0.3006583760058522,0.26804123711340205,0.42048517520215634,0.9187986651835373
class_weight_search,class_weight_equal_1_1_1,4,5,Extra Trees,6834,5467,20,7.759287099994253,0.18098740000277758,7.940274499997031,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5687371927294879,0.7381126554498902,0.5330801644177136,0.2991953182150695,0.25773195876288657,0.42048517520215634,0.9210233592880979
class_weight_search,class_weight_equal_1_1_1,5,5,Extra Trees,6834,5468,20,8.307316299993545,0.2860860000073444,8.59340230000089,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5436870322547633,0.7357247437774525,0.5148092757051611,0.29502196193265007,0.21875,0.3935309973045822,0.932146829810901
