model,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
Logistic regression,0.48273216938481955,0.4640289901975307,0.4007582167054008,0.5206498023090805,0.6710570538985777
Random Forest,0.7127600917249408,0.5840113066258972,0.5823491699439124,0.7083912728016322,0.32630729997290236
Extra Trees,0.7219773558068721,0.5916791694649811,0.5910904944918103,0.7194041129121963,0.3163587212060909
Gradient boosting,0.6919802797803485,0.44554453267031907,0.46358974916415024,0.6346214282286328,0.3560149775989358
ANN / MLP,0.6978346530485904,0.4953021240621102,0.5173122267280694,0.6757585619650749,0.34459927104163074
