model,domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
Logistic regression,Temperature,Temperature,0.04159970052443618,0.017629923719889518,0.4007582167054008,0.3591585161809646
Logistic regression,Student,Student,0.029428605920042733,0.0069285180770427305,0.4007582167054008,0.3713296107853581
Logistic regression,AC on/off,AC on/off,0.018494706113233065,0.005070753695995376,0.4007582167054008,0.38226351059216773
Logistic regression,LocationLeft,LocationLeft,0.01612469926526323,0.010697014107147858,0.4007582167054008,0.3846335174401376
Logistic regression,EA,EA,0.015442663407128972,0.016438737377846967,0.4007582167054008,0.3853155532982718
Logistic regression,Age,Age,0.014785539374025962,0.007849609993339156,0.4007582167054008,0.38597267733137486
Logistic regression,LocationBack,LocationBack,0.012208844922635673,0.009980004197569442,0.4007582167054008,0.38854937178276505
Logistic regression,LocationFront,LocationFront,0.01038590327299541,0.007657155251519859,0.4007582167054008,0.39037231343240536
Logistic regression,RH,RH,0.009598625456851527,0.012841726424741837,0.4007582167054008,0.39115959124854927
Logistic regression,Moment,Moment,0.008473491942115196,0.007492433913477086,0.4007582167054008,0.3922847247632856
Logistic regression,Vote weekday,Vote weekday,0.008087320196027752,0.009751883953862239,0.4007582167054008,0.39267089650937304
Logistic regression,LocationMiddle,LocationMiddle,0.007571628832273931,0.0052905049192992154,0.4007582167054008,0.3931865878731269
Logistic regression,Gender,Gender,0.006785009770727357,0.005675944157974989,0.4007582167054008,0.3939732069346734
Logistic regression,LocationRight,LocationRight,0.005270601723225974,0.0078104077857379965,0.4007582167054008,0.39548761498217483
Logistic regression,CLO,CLO,0.00399250472403288,0.007576215118598876,0.4007582167054008,0.3967657119813679
Logistic regression,CO2,CO2,0.0026981930365160057,0.006086060023931802,0.4007582167054008,0.39806002366888477
Logistic regression,Sound,Sound,0.0022168327212003813,0.006803167687129439,0.4007582167054008,0.3985413839842004
Logistic regression,Vote hour,Vote hour,0.002030963502951406,0.006352362203001298,0.4007582167054008,0.3987272532024494
Logistic regression,Lighting,Lighting,-0.00021525651032399117,0.008165688171041555,0.4007582167054008,0.4009734732157248
Logistic regression,Ttrend,Ttrend,-0.0013554774610192322,0.003520035552830062,0.4007582167054008,0.40211369416642
Random Forest,LocationFront,LocationFront,0.05210701843701953,0.00888200072843722,0.5823491699439124,0.5302421515068929
Random Forest,Gender,Gender,0.04416311283533398,0.014020110395573927,0.5823491699439124,0.5381860571085785
Random Forest,Age,Age,0.04074914029549575,0.014792683484242376,0.5823491699439124,0.5416000296484167
