model,feature,importance_mean,importance_std
Logistic regression,Temperature,0.04692588609899791,0.002935700439562625
Logistic regression,Student,0.035094097129827195,0.0018984780572297226
Logistic regression,LocationBack,0.018279125330898184,0.0019476302629593137
Logistic regression,AC on/off,0.01772639403314702,0.0012017269324011875
Logistic regression,Age,0.01697714728437908,0.0030137966982662317
Logistic regression,EA,0.015950631876181332,0.006109090999670666
Logistic regression,LocationLeft,0.01479320512817417,0.002958804892921468
Logistic regression,LocationFront,0.014129127820557641,0.0015351919009099252
Logistic regression,RH,0.01336210888212902,0.0029743217402646164
Logistic regression,Moment,0.011508197960064016,0.002087622067636469
Logistic regression,Gender,0.011444456654736335,0.0021286002395503457
Logistic regression,Vote weekday,0.008546782122719854,0.0013631046491083831
Logistic regression,LocationRight,0.008281790278143774,0.0014526616119448178
Logistic regression,LocationMiddle,0.006108891590583754,0.0018881757359410709
Logistic regression,Sound,0.005840497256945109,0.0018740834961835362
Logistic regression,CLO,0.005457726010958975,0.001429435499076723
Logistic regression,Vote hour,0.003966668338298518,0.001467811730808777
Logistic regression,CO2,0.00285192434356788,0.0008381828002588761
Logistic regression,Lighting,0.002646537326121101,0.0011736725890021036
Logistic regression,Ttrend,-0.0008747598530644329,0.0006755339955483466
Random Forest,LocationFront,0.11640790474384317,0.0024394029299673967
Random Forest,Gender,0.10427362979365525,0.005037819913847825
Random Forest,LocationLeft,0.07839663723545565,0.00189882690861312
Random Forest,LocationBack,0.0714243985372833,0.0024892646999614574
Random Forest,Age,0.06659438077960304,0.0026268205261695573
Random Forest,CLO,0.06600656043406665,0.0033651086921579897
Random Forest,Lighting,0.05570669094030538,0.002130623437292498
Random Forest,RH,0.054624580940721514,0.002208045321348118
Random Forest,AC on/off,0.05374316569163089,0.0018413449321403005
Random Forest,LocationRight,0.05094230212984015,0.003729949615349512
Random Forest,LocationMiddle,0.04723927113185389,0.00423510054652564
Random Forest,Vote weekday,0.045182678594476486,0.003071855301954904
Random Forest,EA,0.0413746212171747,0.0021537999374751176
Random Forest,CO2,0.04082857257093897,0.0012186310262897724
Random Forest,Sound,0.037936550180897255,0.0018911227323560756
Random Forest,Temperature,0.03745527490456315,0.0017203171667760845
Random Forest,Moment,0.021079026026794657,0.0009981441201386782
Random Forest,Vote hour,0.01907695949216557,0.001018515852282288
Random Forest,Ttrend,0.015301860540493428,0.0009190325933452252
Random Forest,Student,0.006031545187971954,0.0015764715376218711
Extra Trees,LocationFront,0.15927802839275537,0.003399691185200986
Extra Trees,Gender,0.14662372798203588,0.004084814850082212
Extra Trees,Vote weekday,0.11497928534637607,0.004034446147142324
Extra Trees,CLO,0.0908338568950724,0.0030790689182430874
Extra Trees,LocationMiddle,0.08860825522034137,0.004560480492429847
Extra Trees,LocationLeft,0.08446454897260754,0.002580976891530827
Extra Trees,LocationBack,0.07815573559495051,0.0034926104951426037
Extra Trees,Age,0.07752395203581666,0.003490799076163602
Extra Trees,AC on/off,0.07199993778426535,0.002433969698970438
Extra Trees,LocationRight,0.06702133445970385,0.0023168974143717345
Extra Trees,Lighting,0.04894758597761364,0.0028328624724763313
Extra Trees,Temperature,0.047116679807737684,0.0029079204915443795
Extra Trees,RH,0.04377410087768947,0.0013948172807357203
Extra Trees,Moment,0.040773984859657955,0.0027726466406973187
Extra Trees,CO2,0.028770946301643098,0.000994252971752775
Extra Trees,Vote hour,0.02567413617218739,0.0014115289754278839
Extra Trees,Sound,0.025538257965555644,0.002223209594338496
Extra Trees,EA,0.025025304399866076,0.001488740789532245
Extra Trees,Student,0.02160167712741228,0.0006153709339083191
Extra Trees,Ttrend,0.010050377231698548,0.0011107553763307844
Gradient boosting,Age,0.07796698084059078,0.0021763059819636995
Gradient boosting,AC on/off,0.05379736898997919,0.005525744186240523
Gradient boosting,Temperature,0.04550506352011985,0.0009992993887397077
Gradient boosting,LocationFront,0.03268961170332274,0.0034382774902786974
Gradient boosting,RH,0.03240283383362254,0.0038069198329209936
Gradient boosting,Gender,0.030943391117220765,0.003026934902023283
Gradient boosting,CLO,0.025972665438148225,0.0019670828314965767
Gradient boosting,Lighting,0.020298443815335944,0.001828824103811783
Gradient boosting,LocationBack,0.01958041503137924,0.001822705672271404
Gradient boosting,LocationMiddle,0.01806773363638007,0.002854736824526457
Gradient boosting,EA,0.01238348805140197,0.001234035471558322
Gradient boosting,Vote weekday,0.011674869307646807,0.001294592164380201
Gradient boosting,LocationLeft,0.011080622616110536,0.0016797580522117496
Gradient boosting,LocationRight,0.01071629220098953,0.0020519962417444486
Gradient boosting,Ttrend,0.010231557087938636,0.0032909012950489104
Gradient boosting,CO2,0.008460977613097364,0.0005275307923744704
Gradient boosting,Sound,0.0050756918480826755,0.0012368608110211903
Gradient boosting,Vote hour,0.003444544028794927,0.0014114640734655308
Gradient boosting,Moment,0.00231120496599857,0.0013720001257429624
Gradient boosting,Student,0.0019742306454365146,0.0007939683276592586
ANN / MLP,Age,0.09154789848441167,0.0024182434929876364
ANN / MLP,Gender,0.0867819430927667,0.0024882383646204318
ANN / MLP,RH,0.07939698849831875,0.0033591294705699027
ANN / MLP,CLO,0.07934736925920496,0.0051263355634739525
ANN / MLP,Temperature,0.07493567230740217,0.002117176966568226
ANN / MLP,LocationFront,0.07246913269298882,0.0051438426289494845
ANN / MLP,Vote weekday,0.07244644265741358,0.006302644085052916
ANN / MLP,Lighting,0.07080672259874354,0.001709098740226791
ANN / MLP,LocationBack,0.06979797361492131,0.002736952853133646
ANN / MLP,LocationMiddle,0.06830793786208078,0.0047341729095223386
ANN / MLP,EA,0.06665957091122235,0.004245925938014882
ANN / MLP,LocationLeft,0.05919910089296434,0.003239700000631946
ANN / MLP,LocationRight,0.052546404547233805,0.0039044153542419327
ANN / MLP,Student,0.049934031615696116,0.0046581089373585495
ANN / MLP,Sound,0.04710554903443096,0.00197927728816424
ANN / MLP,AC on/off,0.03798379666991849,0.0026149442347391536
ANN / MLP,CO2,0.030270312815767197,0.003878996637227705
ANN / MLP,Vote hour,0.019681082052001874,0.003328715827221602
ANN / MLP,Ttrend,0.013760947933663203,0.0015543885649484635
ANN / MLP,Moment,0.011778058595353724,0.0023710706912636968
