multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
1.5,1.2,1.0,0.621020595784575,0.7367573895229733,0.6194813033179275,0.294263974246415,0.4214876033057851,0.6167115902964959,0.8202447163515016
1.2,1.0,1.0,0.620861891939164,0.744659057652912,0.6090896177001951,0.2873865964296166,0.40289256198347106,0.5714285714285714,0.8529477196885428
1.2,1.2,1.0,0.6196451490886964,0.7393912788996195,0.6091275528702669,0.28753292361720806,0.371900826446281,0.6323450134770889,0.8231368186874305
2.0,1.2,1.0,0.6171978420236176,0.7292947029558092,0.6370217347706153,0.3107989464442493,0.5144628099173554,0.584366576819407,0.8122358175750835
2.0,1.5,1.0,0.6163260582672138,0.7167105648229442,0.632098468116571,0.31504243488440153,0.45867768595041325,0.6765498652291105,0.7610678531701891
1.0,1.0,1.0,0.6140903767435894,0.7448053848405034,0.5955942019059605,0.2856306701785192,0.3512396694214876,0.5805929919137466,0.8549499443826474
1.5,1.0,1.0,0.6134132533422437,0.7389522973368452,0.6131434091989655,0.2977758267486099,0.44008264462809915,0.5504043126684636,0.8489432703003337
1.5,1.5,1.0,0.6121735515839742,0.720222417325139,0.6132011806590193,0.3050921861281826,0.3760330578512397,0.6964959568733153,0.7670745272525028
2.0,1.0,1.0,0.6081841242464802,0.7295873573309921,0.63135237673337,0.31665203394790753,0.5392561983471075,0.5169811320754717,0.8378197997775306
1.0,1.2,1.0,0.607880555778568,0.7383669885864794,0.5930897009736277,0.287825577992391,0.3140495867768595,0.6409703504043127,0.8242491657397107
1.2,1.5,1.0,0.6070298771829479,0.7215393620134621,0.6016523317341645,0.3005560433128475,0.32644628099173556,0.7094339622641509,0.7690767519466073
2.5,1.5,1.0,0.606114615068287,0.7066139888791337,0.6419475193681143,0.3374304945858941,0.53099173553719,0.6431266846361186,0.7517241379310344
2.5,1.2,1.0,0.6023586500418842,0.7168568920105356,0.6392595397741195,0.3346502780216564,0.5619834710743802,0.5557951482479785,0.8
2.0,2.0,1.0,0.5970471340935051,0.6845185835528241,0.6157980608358101,0.34006438396254024,0.3987603305785124,0.7676549865229111,0.6809788654060067
2.5,2.0,1.0,0.5949624081184676,0.6786654960491659,0.6273633571308518,0.3542581211589113,0.4607438016528926,0.7477088948787062,0.6736373748609567
1.0,1.5,1.0,0.5948562505391758,0.7203687445127305,0.5881909149907517,0.3017266608135792,0.27892561983471076,0.7159029649595687,0.7697441601779755
2.5,1.0,1.0,0.5934069563135121,0.717003219198127,0.6326222214171852,0.3412350014632719,0.5805785123966942,0.49326145552560646,0.8240266963292547
1.5,2.0,1.0,0.5859004185602297,0.6859818554287387,0.5952293545011392,0.3340649692712906,0.31611570247933884,0.784366576819407,0.6852057842046718
1.2,2.0,1.0,0.5712384648683148,0.6853965466783728,0.5790104993492786,0.33260169739537604,0.256198347107438,0.7940700808625337,0.6867630700778643
1.0,2.0,1.0,0.558904302346063,0.6843722563652327,0.5669578746531984,0.33260169739537604,0.2128099173553719,0.801078167115903,0.6869855394883203
