multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold
1.5,1.2,1.0,0.5965820104055982,0.7204878048780488,0.5922673159570065,0.31089430894308945,0.39080459770114945,0.5664670658682635,0.8195302843016069,1
1.5,1.0,1.0,0.5958001691443688,0.7282926829268292,0.592769214848793,0.30878048780487805,0.42528735632183906,0.49640718562874253,0.8566131025957973,1
2.0,1.2,1.0,0.5935728863237152,0.7133333333333334,0.6082023668446747,0.3279674796747967,0.47586206896551725,0.537125748502994,0.811619283065513,1
2.0,1.5,1.0,0.5901035623645341,0.6967479674796748,0.6019199003070823,0.3357723577235772,0.41839080459770117,0.6353293413173653,0.7520395550061805,1
2.0,1.0,1.0,0.5886810135727308,0.72,0.6047273255373231,0.32666666666666666,0.496551724137931,0.47065868263473054,0.8469715698393078,1
1.2,1.2,1.0,0.5873040610460644,0.7211382113821139,0.5745417083937349,0.30829268292682926,0.3218390804597701,0.5790419161676646,0.8227441285537701,1
1.2,1.0,1.0,0.5868467057344745,0.7292682926829268,0.572257811643241,0.3050406504065041,0.3448275862068966,0.511377245508982,0.8605686032138442,1
1.5,1.5,1.0,0.5864682683577873,0.7009756097560975,0.5866124931558533,0.3255284552845528,0.3471264367816092,0.6544910179640718,0.7582200247218789,1
1.0,1.0,1.0,0.585701826839976,0.7313821138211382,0.5655320193762766,0.30097560975609755,0.3103448275862069,0.5239520958083832,0.8622991347342398,1
2.5,1.5,1.0,0.5847744308274613,0.6879674796747968,0.6173824721725724,0.35772357723577236,0.503448275862069,0.6077844311377245,0.7409147095179234,1
2.5,1.2,1.0,0.5833254469205168,0.7024390243902439,0.615910659110292,0.3510569105691057,0.5333333333333333,0.5173652694610779,0.7970333745364647,1
1.0,1.2,1.0,0.5805766680826997,0.7219512195121951,0.5645190615600421,0.30601626016260164,0.28045977011494255,0.588622754491018,0.8244746600741656,1
2.5,1.0,1.0,0.576558227738595,0.7065040650406504,0.6135989476228482,0.35365853658536583,0.5655172413793104,0.44610778443113774,0.8291718170580964,1
1.2,1.5,1.0,0.5744309388144976,0.7016260162601626,0.569121274663636,0.3230894308943089,0.27816091954022987,0.6682634730538922,0.7609394313967861,1
2.5,2.0,1.0,0.5735136834377615,0.6596747967479675,0.6051652998791924,0.37317073170731707,0.432183908045977,0.7269461077844311,0.6563658838071693,1
2.0,2.0,1.0,0.5702373306625227,0.6637398373983739,0.5886228310609504,0.3617886178861789,0.3586206896551724,0.7437125748502994,0.6635352286773795,1
1.0,1.5,1.0,0.5652944999588595,0.7019512195121951,0.558734214505788,0.32162601626016263,0.2367816091954023,0.677245508982036,0.7621755253399258,1
1.5,2.0,1.0,0.5649040351592824,0.6676422764227642,0.5746355604435531,0.35235772357723577,0.29195402298850576,0.7634730538922155,0.6684796044499381,1
1.2,2.0,1.0,0.5515058057079479,0.668130081300813,0.5596802502010457,0.35089430894308943,0.23218390804597702,0.7766467065868263,0.6702101359703337,1
1.0,2.0,1.0,0.5355286250431263,0.6665040650406504,0.5459990040804117,0.35121951219512193,0.18620689655172415,0.7808383233532934,0.6709517923362176,1
1.5,1.2,1.0,0.5920201671340979,0.7178861788617886,0.5883497911895402,0.3152845528455285,0.3793103448275862,0.5706586826347305,0.8150803461063041,2
2.0,1.2,1.0,0.5891728751628474,0.7102439024390244,0.60325584144216,0.33235772357723575,0.45977011494252873,0.5443113772455089,0.8056860321384425,2
1.2,1.0,1.0,0.5875669464118393,0.7268292682926829,0.5738937112348764,0.3076422764227642,0.35172413793103446,0.5155688622754491,0.8543881334981459,2
1.5,1.0,1.0,0.5863916328494923,0.7227642276422764,0.5833630183617817,0.3151219512195122,0.40229885057471265,0.49760479041916167,0.850185414091471,2
2.0,1.5,1.0,0.585662546016966,0.6957723577235773,0.5996082200147962,0.33951219512195124,0.4114942528735632,0.6365269461077845,0.7508034610630407,2
1.2,1.2,1.0,0.5840467751223263,0.7195121951219512,0.571938982952215,0.31089430894308945,0.3103448275862069,0.5874251497005988,0.8180469715698393,2
1.5,1.5,1.0,0.5831286335014424,0.7017886178861789,0.5830770353358611,0.3260162601626016,0.32873563218390806,0.6622754491017964,0.7582200247218789,2
2.5,1.5,1.0,0.5810826038988206,0.688130081300813,0.6107818802529632,0.35804878048780486,0.47586206896551725,0.615568862275449,0.7409147095179234,2
1.0,1.0,1.0,0.5780183035684753,0.7271544715447155,0.5580549229319376,0.30585365853658536,0.2896551724137931,0.5281437125748503,0.8563658838071694,2
1.2,1.5,1.0,0.5779614735892838,0.7040650406504065,0.5719980921041568,0.3204878048780488,0.27816091954022987,0.6766467065868264,0.7611866501854141,2
2.0,1.0,1.0,0.5779428106889887,0.7123577235772358,0.5939961686107348,0.33495934959349594,0.47586206896551725,0.46706586826347307,0.8390605686032139,2
1.0,1.2,1.0,0.577558550356252,0.7204878048780488,0.5610997659994504,0.308130081300813,0.26436781609195403,0.5994011976047904,0.8195302843016069,2
2.5,1.2,1.0,0.5770166722120509,0.6983739837398374,0.6077935117645304,0.3539837398373984,0.5149425287356322,0.51437125748503,0.7940667490729295,2
2.5,1.0,1.0,0.5717991414561923,0.7024390243902439,0.6085496029806463,0.3559349593495935,0.5586206896551724,0.4413173652694611,0.8257107540173053,2
1.0,1.5,1.0,0.5667664167799354,0.7040650406504065,0.5600784648965003,0.31934959349593495,0.23218390804597702,0.6856287425149701,0.7624227441285538,2
2.5,2.0,1.0,0.56669657854506,0.6573983739837398,0.5979353314739317,0.3775609756097561,0.4160919540229885,0.7203592814371258,0.657354758961681,2
2.0,2.0,1.0,0.5639997520767249,0.6632520325203252,0.5821035223785412,0.36341463414634145,0.33793103448275863,0.7431137724550898,0.6652657601977751,2
1.5,2.0,1.0,0.558593839037209,0.668130081300813,0.5679461020275066,0.3517073170731707,0.26666666666666666,0.7664670658682635,0.6707045735475896,2
1.2,2.0,1.0,0.5487541003099236,0.6691056910569105,0.5563058132771866,0.34764227642276424,0.21839080459770116,0.7778443113772455,0.6726823238566131,2
1.0,2.0,1.0,0.5407712179155489,0.6694308943089431,0.5491037503584253,0.3463414634146341,0.18850574712643678,0.7856287425149701,0.673176761433869,2
1.2,1.0,1.0,0.60295830332691,0.7390243902439024,0.5893147141348067,0.2967479674796748,0.367816091954023,0.5383233532934132,0.8618046971569839,3
1.5,1.2,1.0,0.6021505022633713,0.7250406504065041,0.6001421591694353,0.3092682926829268,0.39770114942528734,0.5844311377245509,0.8182941903584673,3
1.5,1.0,1.0,0.6012226005452969,0.7334959349593496,0.6005241949217516,0.30585365853658536,0.4298850574712644,0.5155688622754491,0.8561186650185414,3
2.0,1.2,1.0,0.5975874511161826,0.7170731707317073,0.6137307414921659,0.32666666666666666,0.47586206896551725,0.555688622754491,0.8096415327564895,3
1.0,1.0,1.0,0.5973702249303211,0.7404878048780488,0.5766517942334504,0.2926829268292683,0.31724137931034485,0.5467065868263473,0.8660074165636589,3
