model,n_candidates_tested,total_grid_candidates,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,std_fit_time,params_json
Random Forest,288,288,12,0.5848979080435577,0.02029819744933366,0.7133448864202317,0.008063802655914906,0.5867805470611431,0.02538531434585356,1.2059804916381835,0.00628674032252462,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,52,0.5804214630349043,0.016322765687092112,0.7126131433143292,0.006051289277459861,0.5814716948221841,0.021924411065043895,2.4046260833740236,0.013161808815441966,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,132,0.5745975191365761,0.01514605787000483,0.6952008277094148,0.005504445179617476,0.5935041087067459,0.02240177630292723,1.0896981716156007,0.005925903238002347,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,162,0.5732351062269865,0.016354266755822036,0.6941764730453558,0.005277675517953535,0.5912368467630463,0.024357594703310965,2.173277473449707,0.01884290099021651,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,132,0.5745975191365761,0.01514605787000483,0.6952008277094148,0.005504445179617476,0.5935041087067459,0.02240177630292723,1.0847426891326903,0.00847696580203937,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,162,0.5732351062269865,0.016354266755822036,0.6941764730453558,0.005277675517953535,0.5912368467630463,0.024357594703310965,2.173188495635986,0.016340066577491753,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,274,0.5588128218705318,0.005225712288821147,0.7155410796852391,0.006214845793990292,0.5424496707674862,0.006486045308538737,3.507358264923096,0.07762818325302394,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,277,0.5571263879507271,0.003247547602431921,0.7151025907690264,0.007038107691598838,0.5407626089894166,0.004627605911385171,6.9435492038726805,0.04495799472357382,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,63,0.5797936135893925,0.009731736378830106,0.7155410796852391,0.005896722790209216,0.5751952265317509,0.013487309924513271,3.197189998626709,0.025687453392711578,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,56,0.5799955543979975,0.007084272895123838,0.715395202327183,0.007516232155552853,0.5758397368639798,0.01078242129590288,6.414126682281494,0.05540188379769912,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,74,0.5791416096765831,0.009395094543529083,0.7123214957034728,0.00576744333455009,0.57673496600365,0.01442341575690813,3.1492347717285156,0.022674608486246476,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,69,0.5794369869799724,0.006964692055144695,0.7134926916728878,0.006957372713913704,0.5765894514207103,0.012729634069297129,6.338342142105103,0.03975796454178266,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,60,0.579884764414405,0.00708185661676319,0.7105662547755556,0.006875251823317429,0.580151308076489,0.012113174587390543,3.092314291000366,0.02377339460520884,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,35,0.5819599524914753,0.01023982915655358,0.7134924774623765,0.005308997109953813,0.5816603181209263,0.015516983282958327,6.153751945495605,0.05430932596750882,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,145,0.5741086800807851,0.010309825676834986,0.6956414587307385,0.010894740411443718,0.5902718220169365,0.01715087600779606,2.7860515117645264,0.02589998106163725,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,178,0.5714440366636195,0.013474130860418609,0.6940313454240886,0.0077726145660116895,0.5881099868475143,0.020624650136229307,5.538438558578491,0.0510197090854653,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,145,0.5741086800807851,0.010309825676834986,0.6956414587307385,0.010894740411443718,0.5902718220169365,0.01715087600779606,2.791627216339111,0.02114048441356118,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,178,0.5714440366636195,0.013474130860418609,0.6940313454240886,0.0077726145660116895,0.5881099868475143,0.020624650136229307,5.561772966384888,0.05746204810231443,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
