case_definition,complete_rows,missing_or_incomplete_rows,total_rows,complete_percent
Target available,6834,0,6834,100.0
All inputs complete,2047,4787,6834,29.953175299970734
Target + all inputs complete,2047,4787,6834,29.953175299970734
