model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,weighted_f1_mean,weighted_f1_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,macro_f1_per_second,n_candidates_tested,total_grid_candidates,tuning_fits,best_cv_macro_f1,best_cv_accuracy,best_cv_balanced_accuracy,tuning_seconds,best_params_json
ANN / MLP,0.4938703959014449,0.023235202784109843,0.6908106903897668,0.011231444230727248,0.4762306391483251,0.02494929387023952,0.6598890328800862,0.011802778220234908,0.35235572654314573,0.012285408354088543,2.4632244799984617,1.0364673238920468,0.0078063200111500915,0.0007010437450056462,2.471030800009612,1.036065129809542,0.19986411982380947,96,96,480,0.5160248858100525,0.7061730114034965,0.4918031223918983,629.5850259999861,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__batch_size"": 64, ""model__hidden_layer_sizes"": [64, 32], ""model__learning_rate_init"": 0.003}"
Extra Trees,0.5923139836859301,0.02550280250549024,0.7232942149238321,0.00698247824414802,0.593756652538259,0.032317576579424696,0.7206017077628769,0.009110329289590331,0.31372511007742643,0.009611416098607878,3.9579802600084806,0.049393906266043626,0.07449693999951705,0.002163897783086756,4.032477200007998,0.05067508915243036,0.14688588535224834,288,288,1440,0.594899230194315,0.7234401993871438,0.5957103943516084,5847.162777699996,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__criterion"": ""entropy"", ""model__max_depth"": null, ""model__max_features"": null, ""model__max_samples"": 0.9, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 500}"
Gradient boosting,0.49717339371014646,0.027182596664806716,0.6949062882566585,0.010917405194268327,0.4729261231432063,0.020622624269144865,0.6548083981185958,0.01428326599005508,0.34679674956970463,0.009940721805818075,4.231308380002156,0.028461536250494347,0.013944139983505011,0.003764086549670405,4.2452525199856606,0.02853050355109569,0.1171127963223789,144,144,720,0.4976179784173711,0.6963704170999966,0.4733510736972312,1304.0309097999707,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 220, ""model__subsample"": 0.85}"
Logistic regression,0.40246881107994703,0.011456133375159622,0.48346412670123307,0.010829232614093754,0.4676764924126995,0.017145011682776296,0.5215598905395525,0.00979388950053513,0.6687155188017921,0.005535528218178874,0.07297112001106143,0.013193519465755919,0.006186080002225936,0.001768548493036258,0.07915720001328737,0.012134082038196211,5.084424550292184,14,14,70,0.40246881107994703,0.48346412670123307,0.4676764924126994,12.264329600002384,"{""model__C"": 0.03, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
Random Forest,0.5873847008444031,0.01626430456430802,0.7136374979783883,0.007298690586289074,0.5897395663668108,0.021886151517262396,0.7101150322974049,0.007939075161724004,0.32572261238286704,0.009994833962695024,1.4290413000038824,0.016761969017076866,0.04917640001513064,0.004013464589952689,1.478217700019013,0.019214545335839668,0.3973600781785038,288,288,1440,0.5897299686744557,0.7167104548653098,0.5922919341063291,5381.319737499987,"{""model__class_weight"": ""balanced_subsample"", ""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
