experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae
baseline,main_all_school_extra_trees,1,2,Extra Trees,6834,3417,20,0.17395419999957085,0.018545700004324317,0.19249990000389516,Tuned Extra Trees on the full imputed all-school dataset.,0.5563607861488266,0.6947614866842259,0.5566531170995691,0.35001463271875916
baseline,main_all_school_extra_trees,2,2,Extra Trees,6834,3417,20,0.14864650001982227,0.012916900013806298,0.16156340003362857,Tuned Extra Trees on the full imputed all-school dataset.,0.5589280965790137,0.6988586479367866,0.5551906147799173,0.3435762364647352
feature_engineering,threshold_flags_co2_1000_t18_t24,1,2,Extra Trees,6834,3417,23,0.17650090000825003,0.0184976999880746,0.19499859999632463,Adds binary CO2 and temperature threshold indicators.,0.5549757947451005,0.6856892010535558,0.5595008444917258,0.3608428446005268
feature_engineering,threshold_flags_co2_1000_t18_t24,2,2,Extra Trees,6834,3417,23,0.17501130001619458,0.01191810000455007,0.18692940002074465,Adds binary CO2 and temperature threshold indicators.,0.556267537520426,0.6927129060579456,0.5594128317989167,0.35323383084577115
missingness_indicators,imputation_indicators,1,2,Extra Trees,6834,3417,31,0.17225790000520647,0.012393300014082342,0.1846512000192888,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.5730832583905043,0.7052970441908106,0.576289958125352,0.33801580333625986
missingness_indicators,imputation_indicators,2,2,Extra Trees,6834,3417,31,0.15733820002060384,0.015771200007293373,0.1731094000278972,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.5730655679902888,0.7003219198127012,0.5746189622825676,0.3374304945858941
soft_voting,soft_vote_et_0.80_rf_0.20,1,2,Extra Trees + Random Forest,6834,3417,20,0.22287929998128675,0.033523399994010106,0.25640269997529685,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5621517066298886,0.7023705004389815,0.5611066277576692,0.3435762364647352
soft_voting,soft_vote_et_0.86_rf_0.14,1,2,Extra Trees + Random Forest,6834,3417,20,0.22287929998128675,0.033523399994010106,0.25640269997529685,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5626257067664371,0.7023705004389815,0.5617391761363505,0.3435762364647352
soft_voting,soft_vote_et_0.90_rf_0.10,1,2,Extra Trees + Random Forest,6834,3417,20,0.22287929998128675,0.033523399994010106,0.25640269997529685,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5629059609383847,0.70119988293825,0.5623748568909777,0.3447468539654668
soft_voting,soft_vote_et_0.95_rf_0.05,1,2,Extra Trees + Random Forest,6834,3417,20,0.22287929998128675,0.033523399994010106,0.25640269997529685,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5586316298031911,0.6979806848112379,0.5587066213888131,0.3479660520924788
soft_voting,soft_vote_et_0.80_rf_0.20,2,2,Extra Trees + Random Forest,6834,3417,20,0.2479825000045821,0.03592049999861047,0.2839030000031926,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5635728090593649,0.7055896985659935,0.557928457822607,0.3362598770851624
soft_voting,soft_vote_et_0.86_rf_0.14,2,2,Extra Trees + Random Forest,6834,3417,20,0.2479825000045821,0.03592049999861047,0.2839030000031926,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5623992645707974,0.7035411179397132,0.5573131040173629,0.33801580333625986
soft_voting,soft_vote_et_0.90_rf_0.10,2,2,Extra Trees + Random Forest,6834,3417,20,0.2479825000045821,0.03592049999861047,0.2839030000031926,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5603288181947405,0.700907228563067,0.5557672815131048,0.34006438396254024
