TimeVote,Classroom,ID,Moment,Student,Clothing,Activity,ActivityOther,WindowOpening,ThermalSatisfaction,IAQSatisfaction,AcousticSatisfaction,VisualSatisfaction,DissatisfactionThermal,DissatisfactionThermalOther,DissatisfactionIAQ,DissatisfactionIAQOther,DissatisfactionAcoustic,DissatisfactionAcousticOther,DissatisfactionVisual,DissatisfactionVisualOther,IEQSatisfaction,IEQRemarks,Trm,VOC_Back,CO2_Back,LightLux_Back,RH_Back,SoundLevel_Back,SoundMax_Back,SoundMin_Back,Temp_Back,Time_Back,VOC_Middle,CO2_Middle,LightLux_Middle,RH_Middle,SoundLevel_Middle,SoundMax_Middle,SoundMin_Middle,Temp_Middle,EA_Middle,Trend_T_Middle,Time_Middle,VOC_Front,CO2_Front,LightLux_Front,RH_Front,SoundLevel_Front,SoundMax_Front,SoundMin_Front,Temp_Front,Time_Front,Location_V,Location_H,LocationBack,LocationFront,LocationBlackboard,LocationDoorLeft,LocationDoorRight,LocationMiddleLeft,LocationMiddleMiddle,LocationMiddleRight,LocationWindowLeft,LocationWindowRight,Thermal_Warm,Thermal_Cold,Thermal_Draft,Thermal_Other,IAQ_Stuffy,IAQ_Odour,IAQ_Dry,IAQ_Humid,IAQ_Other,AC_NoiseClassroom,AC_NoiseHallway,AC_NoiseBeamer,AC_OutsideNoise,AC_Other,VIS_BlackboardVisibility,VIS_Underexposure,VIS_Overexposure,VIS_Glare,VIS_Other,Gender,Age
27/04/2021 11:15,A,DB2_12,End,True,Lightly,Passive course,,Multiple windows tilted,4,4,3,3,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,MiddleLeft,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 11:15,A,DB2_18,End,True,Neutral,Active course,,Multiple windows tilted,2,3,4,4,Too warm,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,WindowRight,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 11:15,A,DB2_17,End,True,Neutral,Passive course,,Multiple windows tilted,3,2,3,4,,,Too dry,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,MiddleLeft,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 11:15,A,DB2_2,End,True,Neutral,Passive course,,Multiple windows fully open,1,3,3,3,Too warm,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,MiddleRight,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 11:15,A,DB2_14,End,True,Neutral,Passive course,,Multiple windows tilted,4,4,4,5,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,MiddleLeft,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 11:15,A,DB2_9,End,True,Neutral,Passive course,,Multiple windows tilted,4,4,4,4,,,,,,,,,4,No,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,DoorRight,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 11:15,A,DB2_19,End,True,Neutral,Passive course,,Multiple windows tilted,4,4,4,4,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,DoorLeft,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 11:15,A,DB2_3,End,True,Neutral,Passive course,,Multiple windows tilted,4,4,5,5,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,WindowRight,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 11:15,A,DB2_6,End,True,Neutral,Passive course,,Multiple windows tilted,3,3,3,3,,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,DoorRight,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 11:15,A,DB2_1,End,True,Neutral,Passive course,,Multiple windows tilted,3,4,5,5,,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,MiddleLeft,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 11:15,A,DB2_0,End,True,Neutral,Passive course,,Multiple windows tilted,4,3,3,3,,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,WindowRight,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 11:15,A,DB2_8,End,True,Neutral,Passive course,,Multiple windows tilted,3,3,3,3,,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,DoorLeft,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 11:15,A,DB2_7,End,True,Neutral,Passive course,,Multiple windows tilted,3,3,4,4,,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,DoorRight,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 11:15,A,DB2_23,End,True,Neutral,Passive course,,Multiple windows tilted,3,3,3,3,,,,,,,,,3,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,WindowLeft,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
27/04/2021 11:16,A,DB2_13,End,True,Neutral,Passive course,,Multiple windows tilted,4,4,5,5,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,MiddleRight,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 11:16,A,DB2_16,End,True,Neutral,Passive course,,Multiple windows tilted,4,3,4,4,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Front,MiddleRight,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 11:17,A,DB2_20,End,True,Neutral,Passive course,,Multiple windows tilted,4,4,4,4,,,,,,,,,4,,14.2,1.385.332,640,104.22,24.158,65.386,72.32,45.133,23.769,27/04/2021 11:15,4.597.057,860,507.159,24.448,56.093,66.701,42.182,24.164,35.858,0.198,27/04/2021 11:11,4.615.409,1094,597.859,28.028,62.566,74.748,37.773,23.056,27/04/2021 11:16,Back,DoorLeft,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 13:02,A,DB2_21,Start,True,Lightly,Passive course,,Multiple windows tilted,2,2,5,5,Too warm,,"Stuffy, too humid",,,,,,2,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,DoorLeft,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,16
