fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
1,1,Student,Student,0.6204876013258277,0.6224398247447249,-0.0019522234188972254
1,2,Student,Student,0.6204876013258277,0.6041190291791275,0.016368572146700178
1,3,Student,Student,0.6204876013258277,0.6085851676459412,0.011902433679886526
1,4,Student,Student,0.6204876013258277,0.6134208264989661,0.007066774826861577
1,5,Student,Student,0.6204876013258277,0.6035297266807457,0.016957874645082027
1,1,Temperature,Temperature,0.6204876013258277,0.6038503631462535,0.016637238179574187
1,2,Temperature,Temperature,0.6204876013258277,0.6085208554738323,0.01196674585199542
1,3,Temperature,Temperature,0.6204876013258277,0.6090539905244235,0.011433610801404148
1,4,Temperature,Temperature,0.6204876013258277,0.6151825089397874,0.0053050923860402666
1,5,Temperature,Temperature,0.6204876013258277,0.6184316466006606,0.002055954725167064
1,1,RH,RH,0.6204876013258277,0.6015586217924827,0.018928979533345047
1,2,RH,RH,0.6204876013258277,0.6088291137285906,0.011658487597237088
1,3,RH,RH,0.6204876013258277,0.6074693496728708,0.013018251652956891
1,4,RH,RH,0.6204876013258277,0.6018246172080645,0.018662984117763237
1,5,RH,RH,0.6204876013258277,0.6088772957850423,0.011610305540785348
1,1,CLO,CLO,0.6204876013258277,0.5706702108271388,0.04981739049868894
1,2,CLO,CLO,0.6204876013258277,0.5957607639263841,0.02472683739944359
1,3,CLO,CLO,0.6204876013258277,0.5768053274597317,0.04368227386609602
1,4,CLO,CLO,0.6204876013258277,0.5833291616148831,0.03715843971094457
1,5,CLO,CLO,0.6204876013258277,0.5638101343757183,0.056677466950109445
1,1,CO2,CO2,0.6204876013258277,0.6282828605420584,-0.007795259216230699
1,2,CO2,CO2,0.6204876013258277,0.6227226661279822,-0.0022350648021545183
1,3,CO2,CO2,0.6204876013258277,0.6252150436074837,-0.0047274422816560024
1,4,CO2,CO2,0.6204876013258277,0.6276615782338896,-0.007173976908061874
1,5,CO2,CO2,0.6204876013258277,0.6242360466881701,-0.003748445362342423
1,1,Lighting,Lighting,0.6204876013258277,0.6034993289340679,0.016988272391759818
1,2,Lighting,Lighting,0.6204876013258277,0.6218243924216914,-0.0013367910958637097
1,3,Lighting,Lighting,0.6204876013258277,0.6101190182027839,0.010368583123043784
1,4,Lighting,Lighting,0.6204876013258277,0.5942254195505086,0.026262181775319138
1,5,Lighting,Lighting,0.6204876013258277,0.6204657668856227,2.183444020498193e-05
1,1,Sound,Sound,0.6204876013258277,0.6254851258306484,-0.004997524504820716
