model,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae,source
Logistic regression,0.4853663160397617,0.4634590814350052,0.4021191338850034,,0.6691543290337714,reference from earlier tuned comparison
Random Forest,0.7145149042318357,0.5840388992134126,0.5831756289348426,,0.3249915119084978,reference from earlier tuned comparison
Gradient boosting,0.691247358516635,0.4456813410236095,0.4638411966861743,,0.3570405104208058,reference from earlier tuned comparison
ANN / MLP,0.6934452654657312,0.4922410255446376,0.5125585299077552,,0.3463553688115922,reference from earlier tuned comparison
Extra Trees (final),0.7219773558068721,0.5916791694649811,0.5910904944918103,0.7194041129121963,0.3163587212060909,computed in this notebook
