metric,mean,std
accuracy,0.7219773558068721,0.007289555979870848
balanced_accuracy,0.5916791694649811,0.03022538023991011
macro_f1,0.5910904944918103,0.02475572992248918
weighted_f1,0.7194041129121963,0.008617224823086035
ordinal_mae,0.3163587212060909,0.007507407769065516
