fold,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
1,5467,1367,0.7300658376005852,0.628861023527643,0.6204876013258277,0.7294419095209834,0.3108997805413314
2,5467,1367,0.719824433065106,0.5892193035265619,0.5862843521297402,0.7177023687977513,0.3167520117044623
3,5467,1367,0.7293343087051939,0.601427137528003,0.6030811447385972,0.7269216709515207,0.3130943672275055
4,5467,1367,0.7154352596927579,0.5937540849088595,0.5921802547235903,0.713842767269285,0.3291880029261156
5,5468,1366,0.7152269399707174,0.5451342978338382,0.5534191195412959,0.709111848021441,0.3118594436310395
