multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
1.2,1.0,1.0,0.586257909686739,0.7156862745098039,0.5785264297791081,0.32235879426397424,0.39669421487603307,0.49973045822102424,0.839154616240267
1.2,1.2,1.0,0.5844630691746598,0.7058823529411765,0.5772900749408857,0.32748024582967517,0.3574380165289256,0.5784366576819407,0.7959955506117908
1.5,1.2,1.0,0.5818694621503615,0.7000292654375183,0.5882408224719197,0.34006438396254024,0.41735537190082644,0.5584905660377358,0.7888765294771969
1.0,1.0,1.0,0.579540368760343,0.7181738366988587,0.5616364210737222,0.31665203394790753,0.32644628099173556,0.5137466307277628,0.8447163515016686
1.5,1.0,1.0,0.5786722971962366,0.7077846063798654,0.5866821989541725,0.3374304945858941,0.4524793388429752,0.477088948787062,0.8304783092324806
2.0,1.2,1.0,0.5762484629989615,0.6902253438688909,0.6035767289724898,0.36055019022534385,0.506198347107438,0.5272237196765499,0.7773081201334816
1.5,1.5,1.0,0.5760315790930258,0.6812993854258121,0.5836978800881899,0.35133157740708226,0.371900826446281,0.6528301886792452,0.7263626251390434
1.0,1.2,1.0,0.5739428644911705,0.7064676616915423,0.5600319013565483,0.3244073748902546,0.29132231404958675,0.5892183288409704,0.7995550611790879
2.0,1.5,1.0,0.5724515197966671,0.6732513901082822,0.5983966320860564,0.3702077846063799,0.45454545454545453,0.6231805929919138,0.7174638487208009
1.2,1.5,1.0,0.5711943941121628,0.6843722563652327,0.5687557469880883,0.3421129645888206,0.30578512396694213,0.6690026954177898,0.7314794215795328
2.0,1.0,1.0,0.5710304745696849,0.6975417032484635,0.5999893488142295,0.3582089552238806,0.53099173553719,0.4522911051212938,0.8166852057842047
2.5,1.2,1.0,0.5621292805825258,0.6764705882352942,0.605991430137947,0.3895229733684519,0.5537190082644629,0.5029649595687331,0.7612903225806451
2.5,1.5,1.0,0.561416531043912,0.6605209247878255,0.6045768893989807,0.39669300556043313,0.5165289256198347,0.5935309973045823,0.703670745272525
2.5,1.0,1.0,0.5529342070377564,0.6810067310506293,0.6002563107026423,0.3923031899326895,0.5785123966942148,0.4242587601078167,0.7979977753058954
2.0,2.0,1.0,0.5497396148475596,0.6337430494585894,0.5763710379693071,0.3994732221246708,0.384297520661157,0.7196765498652291,0.625139043381535
1.0,1.5,1.0,0.5494900986555912,0.6826163301141353,0.5453760002382734,0.3418203102136377,0.22520661157024793,0.6765498652291105,0.7343715239154617
1.5,2.0,1.0,0.5457977736527886,0.6379865378987416,0.5587943753050016,0.3855721393034826,0.30165289256198347,0.7444743935309973,0.6302558398220245
2.5,2.0,1.0,0.5437262202551808,0.625548726953468,0.5862034609651077,0.4208369915130231,0.44834710743801653,0.693800539083558,0.6164627363737486
1.2,2.0,1.0,0.5333666084211007,0.6384255194615159,0.5424800666801975,0.38088966930055607,0.2396694214876033,0.754177897574124,0.6335928809788655
1.0,2.0,1.0,0.5154040266599638,0.6376938835235587,0.5258704409106896,0.3801580333625988,0.1797520661157025,0.7622641509433963,0.63559510567297
