multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
1.2,1.2,1.0,0.5127983849199999,0.6476441322797776,0.5116885641443315,0.3983026046239391,0.30165289256198347,0.47896440129449835,0.7544483985765125,1,class_weight_dissatisfied_5_neutral_2
1.0,1.2,1.0,0.5113995284861154,0.6523266022827041,0.5032875458186336,0.38864501024290316,0.256198347107438,0.4929881337648328,0.7606761565836299,1,class_weight_dissatisfied_5_neutral_2
1.5,1.5,1.0,0.5111114699488295,0.6198419666374012,0.5275087912521049,0.4266900790166813,0.3347107438016529,0.5814455231930961,0.6663701067615658,1,class_weight_dissatisfied_5_neutral_2
1.2,1.5,1.0,0.5099581004198586,0.6245244366403278,0.5146138567259391,0.41205736025753587,0.2727272727272727,0.5976267529665588,0.6734875444839857,1,class_weight_dissatisfied_5_neutral_2
1.0,1.0,1.0,0.5065822787277918,0.6643254316652034,0.4969567055693234,0.3839625402399766,0.2727272727272727,0.4045307443365696,0.8136120996441281,1,class_weight_dissatisfied_5_neutral_2
1.2,1.0,1.0,0.504815296483204,0.6587649985367281,0.5032611476589923,0.3939127889961955,0.3140495867768595,0.3883495145631068,0.8073843416370107,1,class_weight_dissatisfied_5_neutral_2
1.5,1.2,1.0,0.5032214974224107,0.6368159203980099,0.5160918046691966,0.42054433713784023,0.3512396694214876,0.45415318230852214,0.7428825622775801,1,class_weight_dissatisfied_5_neutral_2
1.0,1.5,1.0,0.49749134841743076,0.6242317822651449,0.4987368700717509,0.40854550775534093,0.21487603305785125,0.6051779935275081,0.6761565836298933,1,class_weight_dissatisfied_5_neutral_2
1.5,1.0,1.0,0.49612627923260666,0.6464735147790459,0.511839510484182,0.4199590283874744,0.38016528925619836,0.3635382955771305,0.791814946619217,1,class_weight_dissatisfied_5_neutral_2
2.0,1.5,1.0,0.49605392600821113,0.604331284752707,0.5273878361510635,0.4577114427860697,0.3884297520661157,0.5393743257820928,0.6543594306049823,1,class_weight_dissatisfied_5_neutral_2
2.0,1.2,1.0,0.4912581995591836,0.6204272753877671,0.5237073174582794,0.4524436640327773,0.43388429752066116,0.4099244875943905,0.7273131672597865,1,class_weight_dissatisfied_5_neutral_2
2.0,2.0,1.0,0.4839201935650066,0.5618964003511853,0.522005772383474,0.48580626280362893,0.359504132231405,0.6655879180151025,0.5409252669039146,1,class_weight_dissatisfied_5_neutral_2
1.5,2.0,1.0,0.48383956679983386,0.569212759730758,0.5078531676115329,0.4638571846649107,0.2809917355371901,0.6936353829557713,0.548932384341637,1,class_weight_dissatisfied_5_neutral_2
2.0,1.0,1.0,0.4814375155219633,0.6283289435177056,0.5167796783923936,0.45390693590869186,0.45041322314049587,0.3290183387270766,0.7709074733096085,1,class_weight_dissatisfied_5_neutral_2
2.5,1.5,1.0,0.48068499595431663,0.5838454784899034,0.5292400380571332,0.49985367281240856,0.45867768595041325,0.49514563106796117,0.6338967971530249,1,class_weight_dissatisfied_5_neutral_2
2.5,1.2,1.0,0.47447693789979456,0.5990635059994147,0.5229450955505772,0.4975124378109453,0.48760330578512395,0.37971952535059333,0.7015124555160143,1,class_weight_dissatisfied_5_neutral_2
1.2,2.0,1.0,0.47015510672986216,0.5706760316066726,0.4887945503347877,0.4556628621597893,0.2066115702479339,0.7055016181229773,0.5542704626334519,1,class_weight_dissatisfied_5_neutral_2
