experiment,variant,cv_splits,model,rows,predictors,note,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,train_rows_after_sampling_mean,train_rows_after_sampling_std,macro_f1_delta_vs_main,accuracy_delta_vs_main,balanced_accuracy_delta_vs_main,ordinal_mae_delta_vs_main,same_population_as_main,display_order
baseline,main_all_school_extra_trees,2,Extra Trees,6834,20,Tuned Extra Trees on the full imputed all-school dataset.,0.5576444413639201,0.0018153626145962492,0.6968100673105062,0.0028971305053005257,0.5559218659397431,0.0010341453077268305,0.34679543459174716,0.004552633651186423,0.15567984999506734,0.006894220382961781,0.016152750002220273,0.003780404999963135,0.17183259999728762,0.010674625382924916,3417.0,0.0,0.0,0.0,0.0,0.0,True,0
feature_engineering,threshold_flags_co2_1000_t18_t24,2,Extra Trees,6834,23,Adds binary CO2 and temperature threshold indicators.,0.5556216661327633,0.0009134000759813602,0.6892010535557507,0.004966509437657887,0.5594568381453212,6.223437191581303e-05,0.35703833772314897,0.00538038522412943,0.16432500000519212,0.003760393869737612,0.01519594999263063,0.0003619679598369079,0.17952094999782275,0.00412236182957452,3417.0,0.0,-0.0020227752311567926,-0.007609013754755534,0.0035349722055780797,0.010242903131401804,True,1
missingness_indicators,imputation_indicators,2,Extra Trees,6834,31,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.5730744131903966,1.2509001954313727e-05,0.7028094820017559,0.0035179441850076436,0.5754544602039597,0.0011815724917673444,0.33772314896107697,0.0004138757864714644,0.19286969999666326,0.006264541815238436,0.022462900000391528,0.0007489675256944929,0.21533259999705479,0.005515574289543943,3417.0,0.0,0.01542997182647654,0.005999414691249649,0.019532594264216607,-0.009072285630670196,True,2
soft_voting,soft_vote_et_0.90_rf_0.10,2,Extra Trees + Random Forest,6834,20,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5616173895665626,0.0018223151101165814,0.7010535557506585,0.00020693789323584998,0.5590710692020413,0.004672261356895175,0.3424056189640035,0.003311006291771951,0.24135039999964647,0.0005250975016344502,0.02918035000038799,0.005913604702284913,0.27053075000003446,0.005388507200650463,3417.0,0.0,0.00397294820264249,0.004243488440152321,0.0031492032622981725,-0.004389815627743654,True,3
soft_voting,soft_vote_et_0.86_rf_0.14,2,Extra Trees + Random Forest,6834,20,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5625124856686172,0.00016011881208361688,0.7029558091893473,0.0008277515729430466,0.5595261400768567,0.0031297056093568835,0.3407960199004975,0.0039318199714792265,0.24135039999964647,0.0005250975016344502,0.02918035000038799,0.005913604702284913,0.27053075000003446,0.005388507200650463,3417.0,0.0,0.004868044304697117,0.006145741878841093,0.0036042741371136167,-0.005999414691249649,True,4
soft_voting,soft_vote_et_0.80_rf_0.20,2,Extra Trees + Random Forest,6834,20,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5628622578446267,0.001004871164643405,0.7039800995024875,0.0022763168255932114,0.5595175427901381,0.0022473055128456538,0.3399180567749488,0.005173447330893698,0.24135039999964647,0.0005250975016344502,0.02918035000038799,0.005913604702284913,0.27053075000003446,0.005388507200650463,3417.0,0.0,0.005217816480706627,0.007170032191981313,0.0035956768503949688,-0.006877377816798369,True,5
soft_voting,soft_vote_et_0.95_rf_0.05,2,Extra Trees + Random Forest,6834,20,Soft-voting ensemble of tuned Extra Trees and tuned Random Forest probabilities.,0.5588622658524756,0.0003261686288702887,0.6982733391864209,0.00041387578647150366,0.5568551345720616,0.002618397766804979,0.34547848990342406,0.003517944185007683,0.24135039999964647,0.0005250975016344502,0.02918035000038799,0.005913604702284913,0.27053075000003446,0.005388507200650463,3417.0,0.0,0.0012178244885554523,0.0014632718759146623,0.0009332686323184625,-0.0013169446883231073,True,6
ordinal_classification,ordinal_extra_trees_decomposition,2,Extra Trees,6834,20,Two-threshold ordinal decomposition with fold-internal binary classifiers.,0.5542829093662378,0.003964534668370376,0.7088088966930055,0.0016555031458859754,0.5500529202294263,0.0006718133232659349,0.3364062042727539,0.006001198903836685,0.22473569998692255,0.0006840551022353745,0.02550350000092294,0.0016617009323968825,0.2502391999878455,0.0023457560346322568,3417.0,0.0,-0.003361531997682299,0.011998829382499299,-0.00586894571031682,-0.010389230318993248,True,7
ordinal_classification,ordinal_random_forest_decomposition,2,Random Forest,6834,20,Two-threshold ordinal decomposition with fold-internal binary classifiers.,0.5183746172958446,0.01705361036541009,0.6881767632426106,0.010139956768551624,0.5249508351161023,0.017405039990367605,0.36698858647936783,0.010346894661787375,0.15024124999763444,0.013838150421882191,0.029641849992913194,0.0005804639520190735,0.17988309999054763,0.014418614373901266,3417.0,0.0,-0.039269824068075554,-0.008633304067895642,-0.030971030823640833,0.020193151887620664,True,8
class_weight_search,class_weight_balanced,2,Extra Trees,6834,20,Baseline Extra Trees balanced class weights.,0.5576444413639201,0.0018153626145962492,0.6968100673105062,0.0028971305053005257,0.5559218659397431,0.0010341453077268305,0.34679543459174716,0.004552633651186423,0.19288884999696165,0.025970829977019105,0.023970649985130876,0.0025357556329216055,0.21685949998209253,0.02850658560994071,3417.0,0.0,0.0,0.0,0.0,0.0,True,9
class_weight_search,class_weight_equal_1_1_1,2,Extra Trees,6834,20,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5357628459097834,0.025259596179119905,0.7240269242025168,0.008277515729429877,0.505541670932707,0.01956624842029176,0.3157740708223588,0.01076077044825886,0.23837819999607746,0.02102369881499971,0.029602549999253824,0.003931160161183428,0.2679807499953313,0.01709253865381628,3417.0,0.0,-0.021881595454136704,0.027216856892010588,-0.050380195007036166,-0.031021363769388355,True,10
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,2,Extra Trees,6834,20,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.5490517341226149,0.024116478708888934,0.7175885279484928,0.009933018875315893,0.5237121569053809,0.017881489528153008,0.3217734855136084,0.0159342177791525,0.21606590000737924,0.007077148921335212,0.02314339998702053,0.00626666313115526,0.23920929999439977,0.0008104857901799527,3417.0,0.0,-0.00859270724130523,0.020778460637986607,-0.032209709034362266,-0.02502194907813876,True,11
class_weight_search,class_weight_dissatisfied_3_neutral_2,2,Extra Trees,6834,20,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5649754111243057,0.011710573248626002,0.718612818261633,0.009312205195608577,0.5453060712994664,0.006832728343236236,0.31709101551068186,0.010139956768551605,0.2194916500011459,0.011617693716309316,0.025387549991137348,0.008904666401178818,0.24487919999228325,0.020522360117488134,3417.0,0.0,0.007330969760385608,0.021802750951126826,-0.010615794640276732,-0.029704419081065303,True,12
class_weight_search,class_weight_dissatisfied_4_neutral_2,2,Extra Trees,6834,20,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.5569498434832288,0.007554040519977319,0.7080772607550483,0.0076567020497225625,0.5434282909232724,0.005334451741018948,0.33274802458296754,0.012002397807673332,0.22301239999069367,0.029726486236407255,0.024290699991979636,0.0030514486044941657,0.2473030999826733,0.026675037631913093,3417.0,0.0,-0.0006945978806912612,0.011267193444542078,-0.012493575016470748,-0.014047410008779626,True,13
class_weight_search,class_weight_dissatisfied_5_neutral_2,2,Extra Trees,6834,20,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.566912134538307,0.0038708679279185086,0.7110038045068774,0.004759571544422155,0.5560137042893295,0.0007958221649286657,0.32821188176763244,0.006828950476779634,0.23209489999862853,0.004274319081476072,0.030937750008888543,0.019821122313109504,0.2630326500075171,0.024095441394585578,3417.0,0.0,0.009267693174386915,0.014193737196371181,9.18383495863706e-05,-0.018583552824114724,True,14
