school_id,room_id,date,time,manuf_id,instr_id,co2_v,temp_v
no-1,27,2023-12-31,23:00,sdanlegg,schneider,507.0,18.1
no-1,27,2024-01-01,00:00,sdanlegg,schneider,514.0,17.8
no-1,27,2024-01-01,01:00,sdanlegg,schneider,519.0,18.6
no-1,27,2024-01-01,02:00,sdanlegg,schneider,513.0,17.9
no-1,27,2024-01-01,03:00,sdanlegg,schneider,511.0,18.9
no-1,27,2024-01-01,04:00,sdanlegg,schneider,510.0,18.0
no-1,27,2024-01-01,05:00,sdanlegg,schneider,511.0,18.7
no-1,27,2024-01-01,06:00,sdanlegg,schneider,511.0,18.3
no-1,27,2024-01-01,07:00,sdanlegg,schneider,505.0,20.2
no-1,27,2024-01-01,08:00,sdanlegg,schneider,507.0,21.1
no-1,27,2024-01-01,09:00,sdanlegg,schneider,508.0,20.6
no-1,27,2024-01-01,10:00,sdanlegg,schneider,516.0,21.0
no-1,27,2024-01-01,11:00,sdanlegg,schneider,520.0,21.5
no-1,27,2024-01-01,12:00,sdanlegg,schneider,514.0,21.2
no-1,27,2024-01-01,13:00,sdanlegg,schneider,522.0,20.6
no-1,27,2024-01-01,14:00,sdanlegg,schneider,520.0,21.1
no-1,27,2024-01-01,15:00,sdanlegg,schneider,528.0,19.8
no-1,27,2024-01-01,16:00,sdanlegg,schneider,526.0,19.1
no-1,27,2024-01-01,17:00,sdanlegg,schneider,513.0,18.7
no-1,27,2024-01-01,18:00,sdanlegg,schneider,517.0,18.4
no-1,27,2024-01-01,19:00,sdanlegg,schneider,523.0,18.2
no-1,27,2024-01-01,20:00,sdanlegg,schneider,521.0,18.0
no-1,27,2024-01-01,21:00,sdanlegg,schneider,527.0,17.9
no-1,27,2024-01-01,22:00,sdanlegg,schneider,507.0,19.0
no-1,27,2024-01-01,23:00,sdanlegg,schneider,525.0,18.4
no-1,27,2024-01-02,00:00,sdanlegg,schneider,520.0,18.0
no-1,27,2024-01-02,01:00,sdanlegg,schneider,513.0,17.8
no-1,27,2024-01-02,02:00,sdanlegg,schneider,520.0,18.8
no-1,27,2024-01-02,03:00,sdanlegg,schneider,517.0,18.1
no-1,27,2024-01-02,04:00,sdanlegg,schneider,518.0,17.8
no-1,27,2024-01-02,05:00,sdanlegg,schneider,511.0,18.7
no-1,27,2024-01-02,06:00,sdanlegg,schneider,516.0,18.0
no-1,27,2024-01-02,07:00,sdanlegg,schneider,518.0,20.0
no-1,27,2024-01-02,08:00,sdanlegg,schneider,1060.0,21.5
no-1,27,2024-01-02,09:00,sdanlegg,schneider,1012.0,21.9
no-1,27,2024-01-02,10:00,sdanlegg,schneider,980.0,22.4
no-1,27,2024-01-02,11:00,sdanlegg,schneider,1247.0,22.4
no-1,27,2024-01-02,12:00,sdanlegg,schneider,1163.0,22.3
no-1,27,2024-01-02,13:00,sdanlegg,schneider,990.0,22.6
no-1,27,2024-01-02,14:00,sdanlegg,schneider,763.0,21.8
no-1,27,2024-01-02,15:00,sdanlegg,schneider,530.0,20.5
no-1,27,2024-01-02,16:00,sdanlegg,schneider,523.0,19.5
no-1,27,2024-01-02,17:00,sdanlegg,schneider,517.0,19.4
no-1,27,2024-01-02,18:00,sdanlegg,schneider,520.0,18.8
no-1,27,2024-01-02,19:00,sdanlegg,schneider,521.0,18.4
no-1,27,2024-01-02,20:00,sdanlegg,schneider,519.0,18.2
no-1,27,2024-01-02,21:00,sdanlegg,schneider,511.0,18.0
no-1,27,2024-01-02,22:00,sdanlegg,schneider,513.0,17.8
no-1,27,2024-01-02,23:00,sdanlegg,schneider,513.0,19.0
no-1,27,2024-01-03,00:00,sdanlegg,schneider,515.0,18.3
no-1,27,2024-01-03,01:00,sdanlegg,schneider,510.0,17.9
no-1,27,2024-01-03,02:00,sdanlegg,schneider,511.0,18.8
no-1,27,2024-01-03,03:00,sdanlegg,schneider,509.0,18.5
no-1,27,2024-01-03,04:00,sdanlegg,schneider,508.0,18.0
no-1,27,2024-01-03,05:00,sdanlegg,schneider,514.0,18.4
no-1,27,2024-01-03,06:00,sdanlegg,schneider,515.0,18.6
no-1,27,2024-01-03,07:00,sdanlegg,schneider,516.0,20.1
no-1,27,2024-01-03,08:00,sdanlegg,schneider,596.0,21.0
no-1,27,2024-01-03,09:00,sdanlegg,schneider,591.0,20.9
no-1,27,2024-01-03,10:00,sdanlegg,schneider,1097.0,22.2
no-1,27,2024-01-03,11:00,sdanlegg,schneider,967.0,21.7
no-1,27,2024-01-03,12:00,sdanlegg,schneider,1105.0,22.2
no-1,27,2024-01-03,13:00,sdanlegg,schneider,854.0,21.9
no-1,27,2024-01-03,14:00,sdanlegg,schneider,531.0,20.7
no-1,27,2024-01-03,15:00,sdanlegg,schneider,519.0,20.4
no-1,27,2024-01-03,16:00,sdanlegg,schneider,511.0,19.9
no-1,27,2024-01-03,17:00,sdanlegg,schneider,523.0,19.2
no-1,27,2024-01-03,18:00,sdanlegg,schneider,504.0,18.7
no-1,27,2024-01-03,19:00,sdanlegg,schneider,513.0,18.5
no-1,27,2024-01-03,20:00,sdanlegg,schneider,512.0,18.3
no-1,27,2024-01-03,21:00,sdanlegg,schneider,514.0,18.1
no-1,27,2024-01-03,22:00,sdanlegg,schneider,510.0,18.0
no-1,27,2024-01-03,23:00,sdanlegg,schneider,506.0,17.9
no-1,27,2024-01-04,00:00,sdanlegg,schneider,509.0,18.0
no-1,27,2024-01-04,01:00,sdanlegg,schneider,508.0,18.8
no-1,27,2024-01-04,02:00,sdanlegg,schneider,506.0,18.2
no-1,27,2024-01-04,03:00,sdanlegg,schneider,516.0,17.9
no-1,27,2024-01-04,04:00,sdanlegg,schneider,516.0,17.8
