variant,macro_f1_mean,macro_f1_delta_vs_main,accuracy_mean,accuracy_delta_vs_main,balanced_accuracy_mean,balanced_accuracy_delta_vs_main,ordinal_mae_mean,ordinal_mae_delta_vs_main
main_all_school_extra_trees,0.557644,0.0,0.69681,0.0,0.555922,0.0,0.346795,0.0
two_stage_dissatisfied_then_acceptability,0.560764,0.00312,0.708077,0.011267,0.550258,-0.005663,0.331138,-0.015657
