experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,positive_label,target_definition,positive_rate_validation,fit_seconds,predict_seconds,total_seconds,f1_positive,balanced_accuracy,roc_auc,pr_auc,accuracy
alternative_binary_target,binary_dissatisfaction_risk,1,2,Extra Trees,6834,3417,20,dissatisfied_votes_1_2,1 = IEQ votes 1-2; 0 = IEQ votes 3-5,0.07082235879426398,0.21351159998448566,0.025952700001653284,0.23946429998613894,0.3364485981308411,0.6308075746730006,0.7871568946443678,0.2788504334774739,0.9168861574480538
alternative_binary_target,binary_dissatisfaction_risk,2,2,Extra Trees,6834,3417,20,dissatisfied_votes_1_2,1 = IEQ votes 1-2; 0 = IEQ votes 3-5,0.07082235879426398,0.17721729999175295,0.020259799988707528,0.19747709998046048,0.3851851851851852,0.6477711980217349,0.7742773475629596,0.31770664905666446,0.9271290605794557
alternative_binary_target,binary_satisfaction_acceptability,1,2,Extra Trees,6834,3417,20,satisfied_votes_4_5,1 = IEQ votes 4-5; 0 = IEQ votes 1-3,0.6575943810359964,0.24493630000506528,0.0314451000012923,0.2763814000063576,0.808237378210806,0.7163534285029612,0.7917685118619698,0.8684270252828871,0.7465613110916008
alternative_binary_target,binary_satisfaction_acceptability,2,2,Extra Trees,6834,3417,20,satisfied_votes_4_5,1 = IEQ votes 4-5; 0 = IEQ votes 1-3,0.6578870354111794,0.255903599987505,0.030842000007396564,0.28674559999490157,0.8155594405594405,0.7174307967694504,0.7973208387495471,0.8704295452039457,0.7529997073456248
