rule,margin_threshold,rows,covered_rows,uncertain_rows,coverage,uncertain_rate,covered_accuracy,covered_macro_f1,assigned_neutral_macro_f1,assigned_neutral_accuracy,assigned_neutral_balanced_accuracy,assigned_neutral_ordinal_mae
neutral_top_two_margin_reject,0.02,6834,6639,195,0.9714661984196664,0.028533801580333626,0.705076065672541,0.5634127558126316,0.5555598216243695,0.692859233245537,0.5539095992800985,0.3492829967808019
neutral_top_two_margin_reject,0.05,6834,6351,483,0.9293239683933274,0.07067603160667252,0.7179971658006613,0.5723113083506411,0.5588978230174994,0.6924202516827627,0.5574743592453378,0.34752707052970444
neutral_top_two_margin_reject,0.1,6834,5866,968,0.8583552824114721,0.14164471758852795,0.7342311626321173,0.5836229931994287,0.5544274796529541,0.6802750951126719,0.554548091427357,0.35645302897278314
neutral_top_two_margin_reject,0.15,6834,5422,1412,0.7933860111208663,0.20661398887913374,0.748616746587975,0.59181696361979,0.5479717457043646,0.6678372841673983,0.5508216028430981,0.36669593210418494
neutral_top_two_margin_reject,0.2,6834,4987,1847,0.7297336845185836,0.27026631548141644,0.7609785442149589,0.595973413220597,0.5371115468303281,0.652619256657887,0.5439480330830926,0.3794263974246415
