variant,class,bin,mean_predicted_probability,observed_fraction
main_all_school_extra_trees,dissatisfied,1,0.03438905734511198,0.023231801755291687
main_all_school_extra_trees,dissatisfied,2,0.14260153253914368,0.06266846361185983
main_all_school_extra_trees,dissatisfied,3,0.24635221023913262,0.11532625189681335
main_all_school_extra_trees,dissatisfied,4,0.3456145057101885,0.15987460815047022
main_all_school_extra_trees,dissatisfied,5,0.44149497044449904,0.21465968586387435
main_all_school_extra_trees,dissatisfied,6,0.5458146245970783,0.3618421052631579
main_all_school_extra_trees,dissatisfied,7,0.6400072841283596,0.3717948717948718
main_all_school_extra_trees,dissatisfied,8,0.7364228422536317,0.6153846153846154
main_all_school_extra_trees,dissatisfied,9,0.8435900749705172,0.696969696969697
main_all_school_extra_trees,dissatisfied,10,0.9274825809519275,0.4
main_all_school_extra_trees,satisfied,1,0.06653294371246307,0.19289340101522842
main_all_school_extra_trees,satisfied,2,0.15358273501090952,0.21772151898734177
main_all_school_extra_trees,satisfied,3,0.2522921087277005,0.292817679558011
main_all_school_extra_trees,satisfied,4,0.35086266083318085,0.4430379746835443
main_all_school_extra_trees,satisfied,5,0.45191766938140593,0.6072961373390557
main_all_school_extra_trees,satisfied,6,0.551254684130853,0.6948176583493282
main_all_school_extra_trees,satisfied,7,0.64962091070808,0.8149861239592969
main_all_school_extra_trees,satisfied,8,0.7486861400676039,0.8618618618618619
main_all_school_extra_trees,satisfied,9,0.8456803781584801,0.9195751138088012
main_all_school_extra_trees,satisfied,10,0.9391873219499662,0.9418181818181818
calibrated_sigmoid_extra_trees,dissatisfied,1,0.0658730020966132,0.05417713567839196
calibrated_sigmoid_extra_trees,dissatisfied,2,0.12264488523105609,0.2989247311827957
calibrated_sigmoid_extra_trees,dissatisfied,3,0.20070060270657897,0.0
calibrated_sigmoid_extra_trees,satisfied,1,0.5859315264793549,0.19767441860465115
calibrated_sigmoid_extra_trees,satisfied,2,0.6587002296494749,0.6775846010555728
calibrated_sigmoid_extra_trees,satisfied,3,0.7102762012028488,0.369281045751634
calibrated_isotonic_extra_trees,dissatisfied,1,0.060683100999703705,0.04687756105556466
calibrated_isotonic_extra_trees,dissatisfied,2,0.12817392333801195,0.247557003257329
calibrated_isotonic_extra_trees,dissatisfied,3,0.2398578790819101,0.36538461538461536
calibrated_isotonic_extra_trees,dissatisfied,4,0.33584032583072493,0.3170731707317073
calibrated_isotonic_extra_trees,dissatisfied,5,0.4262143648888819,0.5384615384615384
calibrated_isotonic_extra_trees,satisfied,1,0.04949679449181992,0.0
calibrated_isotonic_extra_trees,satisfied,2,0.2769969357280035,0.07692307692307693
calibrated_isotonic_extra_trees,satisfied,3,0.33478610191712516,0.23333333333333334
calibrated_isotonic_extra_trees,satisfied,4,0.45770668786909086,0.21348314606741572
calibrated_isotonic_extra_trees,satisfied,5,0.5576299943511542,0.3874458874458874
calibrated_isotonic_extra_trees,satisfied,6,0.6615982589392926,0.7015002586652871
calibrated_isotonic_extra_trees,satisfied,7,0.7359816693079035,0.9230769230769231
calibrated_isotonic_extra_trees,satisfied,8,0.820705818822398,0.9629629629629629
