experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,class_weight,recall_dissatisfied,recall_neutral,recall_satisfied,base_class_weight_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied
class_weight_search,class_weight_equal_1_1_1,1,2,Extra Trees,6834,3417,20,0.16691440000431612,0.021539999986998737,0.18845439999131486,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5179016141614938,0.7181738366988587,0.4917062439923381,0.32338308457711445,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.18181818181818182,0.3760775862068966,0.9172229639519359,,,,
class_weight_search,class_weight_equal_1_1_1,2,2,Extra Trees,6834,3417,20,0.16135390000999905,0.01570769998943433,0.17706159999943338,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.",0.5536240776580729,0.729880011706175,0.5193770978730758,0.30816505706760317,"{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.25206611570247933,0.3807982740021575,0.9252669039145908,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,1,2,Extra Trees,6834,3417,20,0.20518630000879057,0.017724799981806427,0.222911099990597,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.5319988084892184,0.7105648229441031,0.5110680344023076,0.3330406789581504,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.22727272727272727,0.42564655172413796,0.8802848242100578,,,,
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,2,2,Extra Trees,6834,3417,20,0.1803873000026215,0.02369229999021627,0.20407959999283776,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.",0.5661046597560112,0.7246122329528827,0.5363562794084541,0.31050629206906644,"{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.2975206611570248,0.4120819848975189,0.8994661921708185,,,,
class_weight_search,class_weight_dissatisfied_3_neutral_2,1,2,Extra Trees,6834,3417,20,0.1582248999911826,0.022901699994690716,0.18112659998587333,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5566947853686205,0.7120280948200176,0.5404746027539585,0.3242610477026632,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.2768595041322314,0.49676724137931033,0.8477970627503337,,,,
class_weight_search,class_weight_dissatisfied_3_neutral_2,2,2,Extra Trees,6834,3417,20,0.15154189997701906,0.023276599997188896,0.17481849997420795,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5732560368799909,0.7251975417032485,0.5501375398449743,0.3099209833187006,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.30165289256198347,0.4746494066882416,0.8741103202846975,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,1,2,Extra Trees,6834,3417,20,0.33579240000108257,0.03897560000768863,0.3747680000087712,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.5516083302061949,0.7026631548141645,0.5396562639232856,0.3412350014632719,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.30991735537190085,0.4665948275862069,0.842456608811749,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,2,2,Extra Trees,6834,3417,20,0.3084073000063654,0.02924379997421056,0.33765109998057596,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.5622913567602628,0.713491366695932,0.5472003179232593,0.3242610477026632,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.34297520661157027,0.42718446601941745,0.87144128113879,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,1,2,Extra Trees,6834,3417,20,0.20384679999551736,0.027422399987699464,0.23126919998321682,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.5641750175773984,0.707638279192274,0.5554509730398899,0.3330406789581504,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.359504132231405,0.45905172413793105,0.8477970627503337,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,2,2,Extra Trees,6834,3417,20,0.20518540000193752,0.015045900014229119,0.22023130001616664,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.5696492514992157,0.7143693298214808,0.5565764355387691,0.32338308457711445,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.359504132231405,0.447680690399137,0.8625444839857651,,,,
class_weight_search,class_weight_stronger_dissatisfied,1,2,Extra Trees,6834,3417,20,0.17552029999205843,0.024632099986774847,0.20015239997883327,Stronger dissatisfied weight only.,0.5337707117071284,0.710857477319286,0.5241235421861575,0.3374304945858941,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.34297520661157027,0.31573275862068967,0.9136626613262128,,,,
class_weight_search,class_weight_stronger_dissatisfied,2,2,Extra Trees,6834,3417,20,0.1629042999993544,0.022168499999679625,0.18507279999903403,Stronger dissatisfied weight only.,0.5497235753683801,0.7211003804506877,0.5388357618159612,0.32455370207784606,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.384297520661157,0.30204962243797195,0.9301601423487544,,,,
