school_id,room_id,date,time,manuf_id,instr_id,co2_v,temp_v
no-1,11,2023-11-04,02:01,sdanlegg,schneider,378.0,19.0
no-1,11,2023-11-04,03:01,sdanlegg,schneider,389.0,18.9
no-1,11,2023-11-04,04:01,sdanlegg,schneider,377.0,18.8
no-1,11,2023-11-04,05:01,sdanlegg,schneider,368.0,18.7
no-1,11,2023-11-04,06:01,sdanlegg,schneider,374.0,18.6
no-1,11,2023-11-04,07:01,sdanlegg,schneider,377.0,18.6
no-1,11,2023-11-04,08:01,sdanlegg,schneider,374.0,18.7
no-1,11,2023-11-04,09:01,sdanlegg,schneider,393.0,19.1
no-1,11,2023-11-04,10:01,sdanlegg,schneider,405.0,18.7
no-1,11,2023-11-04,11:01,sdanlegg,schneider,390.0,18.6
no-1,11,2023-11-04,12:01,sdanlegg,schneider,384.0,18.6
no-1,11,2023-11-04,13:01,sdanlegg,schneider,383.0,18.5
no-1,11,2023-11-04,14:01,sdanlegg,schneider,383.0,18.4
no-1,11,2023-11-04,15:01,sdanlegg,schneider,351.0,18.3
no-1,11,2023-11-04,16:01,sdanlegg,schneider,388.0,18.2
no-1,11,2023-11-04,17:01,sdanlegg,schneider,390.0,18.2
no-1,11,2023-11-04,18:01,sdanlegg,schneider,373.0,18.2
no-1,11,2023-11-04,19:01,sdanlegg,schneider,368.0,18.1
no-1,11,2023-11-04,20:01,sdanlegg,schneider,375.0,18.1
no-1,11,2023-11-04,21:01,sdanlegg,schneider,377.0,18.0
no-1,11,2023-11-04,22:01,sdanlegg,schneider,385.0,18.0
no-1,11,2023-11-04,23:01,sdanlegg,schneider,375.0,18.0
no-1,11,2023-11-05,00:01,sdanlegg,schneider,391.0,17.9
no-1,11,2023-11-05,01:01,sdanlegg,schneider,380.0,17.9
no-1,11,2023-11-05,02:01,sdanlegg,schneider,379.0,17.9
no-1,11,2023-11-05,03:01,sdanlegg,schneider,375.0,17.8
no-1,11,2023-11-05,04:01,sdanlegg,schneider,377.0,18.1
no-1,11,2023-11-05,05:01,sdanlegg,schneider,373.0,18.8
no-1,11,2023-11-05,06:01,sdanlegg,schneider,370.0,18.3
no-1,11,2023-11-05,07:01,sdanlegg,schneider,383.0,18.1
no-1,11,2023-11-05,08:01,sdanlegg,schneider,368.0,18.0
no-1,11,2023-11-05,09:01,sdanlegg,schneider,390.0,17.9
no-1,11,2023-11-05,10:01,sdanlegg,schneider,376.0,17.9
no-1,11,2023-11-05,11:01,sdanlegg,schneider,367.0,17.9
no-1,11,2023-11-05,12:01,sdanlegg,schneider,371.0,18.7
no-1,11,2023-11-05,13:01,sdanlegg,schneider,366.0,18.6
no-1,11,2023-11-05,14:01,sdanlegg,schneider,372.0,18.2
no-1,11,2023-11-05,15:01,sdanlegg,schneider,378.0,18.0
no-1,11,2023-11-05,16:01,sdanlegg,schneider,364.0,17.9
no-1,11,2023-11-05,17:01,sdanlegg,schneider,364.0,17.8
no-1,11,2023-11-05,18:01,sdanlegg,schneider,379.0,19.0
no-1,11,2023-11-05,19:01,sdanlegg,schneider,382.0,18.5
no-1,11,2023-11-05,20:01,sdanlegg,schneider,388.0,18.2
no-1,11,2023-11-05,21:01,sdanlegg,schneider,377.0,18.0
no-1,11,2023-11-05,22:01,sdanlegg,schneider,364.0,17.9
no-1,11,2023-11-05,23:01,sdanlegg,schneider,377.0,17.9
no-1,11,2023-11-06,00:01,sdanlegg,schneider,382.0,19.0
no-1,11,2023-11-06,01:01,sdanlegg,schneider,373.0,18.5
no-1,11,2023-11-06,02:01,sdanlegg,schneider,370.0,18.1
no-1,11,2023-11-06,03:01,sdanlegg,schneider,372.0,17.9
no-1,11,2023-11-06,04:01,sdanlegg,schneider,380.0,17.8
no-1,11,2023-11-06,05:01,sdanlegg,schneider,377.0,18.9
no-1,11,2023-11-06,06:01,sdanlegg,schneider,375.0,18.5
no-1,11,2023-11-06,07:01,sdanlegg,schneider,384.0,19.5
no-1,11,2023-11-06,08:01,sdanlegg,schneider,723.0,20.7
no-1,11,2023-11-06,09:01,sdanlegg,schneider,837.0,21.7
no-1,11,2023-11-06,10:01,sdanlegg,schneider,466.0,21.6
no-1,11,2023-11-06,11:01,sdanlegg,schneider,395.0,21.3
no-1,11,2023-11-06,12:01,sdanlegg,schneider,793.0,22.4
no-1,11,2023-11-06,13:01,sdanlegg,schneider,425.0,21.6
no-1,11,2023-11-06,14:01,sdanlegg,schneider,392.0,21.7
no-1,11,2023-11-06,15:01,sdanlegg,schneider,383.0,21.0
no-1,11,2023-11-06,16:01,sdanlegg,schneider,381.0,20.4
no-1,11,2023-11-06,17:01,sdanlegg,schneider,382.0,20.0
no-1,11,2023-11-06,18:01,sdanlegg,schneider,380.0,20.0
no-1,11,2023-11-06,19:01,sdanlegg,schneider,381.0,19.5
no-1,11,2023-11-06,20:01,sdanlegg,schneider,387.0,19.2
no-1,11,2023-11-06,21:01,sdanlegg,schneider,387.0,19.0
no-1,11,2023-11-06,22:01,sdanlegg,schneider,385.0,18.9
no-1,11,2023-11-06,23:01,sdanlegg,schneider,392.0,18.8
no-1,11,2023-11-07,00:01,sdanlegg,schneider,377.0,18.7
no-1,11,2023-11-07,01:01,sdanlegg,schneider,384.0,18.7
no-1,11,2023-11-07,02:01,sdanlegg,schneider,380.0,18.6
no-1,11,2023-11-07,03:01,sdanlegg,schneider,393.0,18.5
no-1,11,2023-11-07,04:01,sdanlegg,schneider,392.0,18.4
no-1,11,2023-11-07,05:01,sdanlegg,schneider,387.0,18.3
no-1,11,2023-11-07,06:01,sdanlegg,schneider,390.0,18.3
no-1,11,2023-11-07,07:01,sdanlegg,schneider,398.0,19.7
no-1,11,2023-11-07,08:01,sdanlegg,schneider,554.0,20.8
no-1,11,2023-11-07,09:01,sdanlegg,schneider,742.0,21.9
no-1,11,2023-11-07,10:01,sdanlegg,schneider,706.0,22.2
no-1,11,2023-11-07,11:01,sdanlegg,schneider,766.0,21.9
no-1,11,2023-11-07,12:01,sdanlegg,schneider,635.0,22.7
no-1,11,2023-11-07,13:01,sdanlegg,schneider,685.0,22.7
no-1,11,2023-11-07,14:01,sdanlegg,schneider,538.0,22.2
no-1,11,2023-11-07,15:01,sdanlegg,schneider,393.0,20.9
no-1,11,2023-11-07,16:01,sdanlegg,schneider,388.0,20.4
