paper,variant,model,fold,rows,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
thermal_comfort,primary_only_training_and_evaluation,ANN / MLP,1,5101,1.0141150999697857,0.004967299988493323,1.019082399958279,0.6444662095984329,0.5446414832173706,0.5584788055720943,0.6397477409026808,0.40352595494613125
thermal_comfort,primary_only_training_and_evaluation,ANN / MLP,2,5101,0.9931417000479996,0.00485659996047616,0.9979983000084758,0.6725490196078432,0.5597865902213729,0.5700639556949195,0.6683431251799046,0.38333333333333336
thermal_comfort,primary_only_training_and_evaluation,ANN / MLP,3,5101,1.0637340000248514,0.005042299977503717,1.0687763000023551,0.6774509803921569,0.5504236343366778,0.5671233678693725,0.6692791018132592,0.36764705882352944
thermal_comfort,primary_only_training_and_evaluation,ANN / MLP,4,5101,0.8820039000129327,0.004834999970626086,0.8868388999835588,0.6431372549019608,0.5126676222328396,0.5261976146338325,0.6298857845820455,0.4147058823529412
thermal_comfort,primary_only_training_and_evaluation,ANN / MLP,5,5101,0.9061668000067584,0.004563599999528378,0.9107304000062868,0.6470588235294118,0.5116435738174868,0.5301931313836076,0.6309786165178323,0.4117647058823529
thermal_comfort,primary_only_training_and_evaluation,Extra Trees,1,5101,1.1987296000006609,0.04651069996180013,1.245240299962461,0.6709108716944172,0.6354064918411293,0.6068924977110247,0.6777206759399104,0.38491674828599415
thermal_comfort,primary_only_training_and_evaluation,Extra Trees,2,5101,1.1946912999846973,0.042417399992700666,1.237108699977398,0.6607843137254902,0.6221086160216595,0.592575286189624,0.6708183387470473,0.4235294117647059
thermal_comfort,primary_only_training_and_evaluation,Extra Trees,3,5101,1.1710349000059068,0.04476759996032342,1.2158024999662302,0.6696078431372549,0.6266714444975315,0.6027166035779539,0.6728506383482439,0.3941176470588235
thermal_comfort,primary_only_training_and_evaluation,Extra Trees,4,5101,1.1959900999790989,0.044518399983644485,1.2405084999627434,0.6705882352941176,0.6237697085523172,0.5988304758265206,0.6773326678939466,0.4147058823529412
thermal_comfort,primary_only_training_and_evaluation,Extra Trees,5,5101,1.2084104999667034,0.04464989999542013,1.2530603999621235,0.6656862745098039,0.6307437490046185,0.6034206204279572,0.6727935667433296,0.40294117647058825
thermal_comfort,primary_only_training_and_evaluation,Gradient boosting,1,5101,0.4311794000095688,0.006612800003495067,0.43779220001306385,0.6611165523996082,0.4854485564277246,0.5065124751874216,0.6274379313948346,0.40646425073457393
thermal_comfort,primary_only_training_and_evaluation,Gradient boosting,2,5101,0.42082890000892803,0.005966599972452968,0.426795499981381,0.6803921568627451,0.5041790093964007,0.5276242713301537,0.6498981420867234,0.3715686274509804
thermal_comfort,primary_only_training_and_evaluation,Gradient boosting,3,5101,0.4236481000552885,0.006288700038567185,0.4299368000938557,0.6715686274509803,0.4926787705048574,0.5169390534559074,0.630862324500791,0.3980392156862745
thermal_comfort,primary_only_training_and_evaluation,Gradient boosting,4,5101,0.4201336999540217,0.005848500004503876,0.4259821999585256,0.6617647058823529,0.47188246536072614,0.4894605021253679,0.6192119104245557,0.41274509803921566
thermal_comfort,primary_only_training_and_evaluation,Gradient boosting,5,5101,0.4975354999769479,0.006430600013118237,0.5039660999900661,0.6509803921568628,0.45885650581302756,0.47065078357281215,0.609374097220175,0.42254901960784313
thermal_comfort,primary_only_training_and_evaluation,Logistic regression,1,5101,0.06067119998624548,0.004208799975458533,0.06487999996170402,0.5132223310479922,0.5157476401317586,0.46123877461564233,0.5426640686789393,0.6317335945151812
thermal_comfort,primary_only_training_and_evaluation,Logistic regression,2,5101,0.05923449998954311,0.004524599993601441,0.06375909998314455,0.5196078431372549,0.5301927058448798,0.4731979597137137,0.5417932271637559,0.6235294117647059
thermal_comfort,primary_only_training_and_evaluation,Logistic regression,3,5101,0.056424600013997406,0.004088299989234656,0.06051290000323206,0.4970588235294118,0.5118442427138079,0.44853211786196834,0.5277044903427344,0.657843137254902
thermal_comfort,primary_only_training_and_evaluation,Logistic regression,4,5101,0.0647391999955289,0.004004499991424382,0.06874369998695329,0.47941176470588237,0.47739608217869084,0.4295779047769503,0.5052984200444304,0.6843137254901961
thermal_comfort,primary_only_training_and_evaluation,Logistic regression,5,5101,0.060005600040312856,0.004289900010917336,0.06429550005123019,0.4872549019607843,0.5054960981047937,0.44379545821754035,0.5140085419658765,0.657843137254902
thermal_comfort,primary_only_training_and_evaluation,Random Forest,1,5101,1.6301555000245571,0.0392477999557741,1.6694032999803312,0.6865817825661117,0.6095518756243151,0.6041973644803834,0.6870662933737426,0.3623898139079334
thermal_comfort,primary_only_training_and_evaluation,Random Forest,2,5101,1.610884400026407,0.03985159995499998,1.650735999981407,0.6941176470588235,0.6205828953655042,0.6167942850501031,0.6951255903500827,0.36176470588235293
thermal_comfort,primary_only_training_and_evaluation,Random Forest,3,5101,1.656593099993188,0.04001520003657788,1.6966083000297658,0.6872549019607843,0.594975314540532,0.597879453072563,0.6825114582027769,0.3568627450980392
thermal_comfort,primary_only_training_and_evaluation,Random Forest,4,5101,1.5905631000059657,0.04736849997425452,1.6379315999802202,0.6872549019607843,0.5964994425863991,0.5991742312232099,0.6835483319417318,0.37549019607843137
thermal_comfort,primary_only_training_and_evaluation,Random Forest,5,5101,1.6302137000020593,0.04209569998783991,1.6723093999898992,0.6774509803921569,0.5789568402611881,0.5836381451027807,0.6750593185094796,0.3715686274509804
