model,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,params_json
Gradient boosting,7,0.3521425330968591,0.016237239640381814,0.29733920097351074,0.012192583002146182,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 80, ""model__subsample"": 0.85}"
Gradient boosting,2,0.460048130849287,0.02315167562919457,0.7175593852996827,0.01445849500402851,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 160, ""model__subsample"": 0.85}"
Gradient boosting,1,0.4698980209675391,0.020395096583600367,0.5426517486572265,0.006022200908717907,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 120, ""model__subsample"": 1.0}"
Gradient boosting,8,0.34291749925234505,0.014901818208280284,0.4180915355682373,0.010130272623369106,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 120, ""model__subsample"": 1.0}"
Gradient boosting,6,0.39144518413927926,0.01780522408771817,0.9238379001617432,0.013635149936736679,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 80, ""model__subsample"": 1.0}"
ANN / MLP,5,0.5027236526980349,0.015750793431701028,1.2362093925476074,0.03051077148481072,"{""model__activation"": ""relu"", ""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [16], ""model__learning_rate_init"": 0.001}"
ANN / MLP,3,0.523678522995392,0.016857759958044602,1.0115771770477295,0.11771592343920537,"{""model__activation"": ""relu"", ""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32], ""model__learning_rate_init"": 0.003}"
ANN / MLP,2,0.5253809664488465,0.02333411536739494,1.4619213104248048,0.30096548940420725,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.003}"
ANN / MLP,1,0.5265180661433203,0.01924289760227713,1.1396557807922363,0.38694767857049844,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [32], ""model__learning_rate_init"": 0.003}"
ANN / MLP,4,0.5172672639983231,0.018520769654652276,1.6495509624481202,0.047078038273788946,"{""model__activation"": ""relu"", ""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [32], ""model__learning_rate_init"": 0.001}"
