model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,macro_f1_per_second
ANN / MLP,0.6315458180217445,0.022060683731048223,0.4991092211482228,0.02398863591736852,0.5144805443088314,0.02565015408886819,0.6124589803069009,0.021900583428535295,0.4398606132204301,0.020052856852499086,2.2273490200168453,0.2593793010549924,0.005607620009686798,0.000508141738033602,2.232956640026532,0.2590891638688832,0.23040328463463505
Extra Trees,0.5926236610504241,0.02068415059886272,0.5732872150270443,0.02955736511142312,0.5367212969096619,0.024381838211564293,0.6070975238281202,0.020179392397488116,0.5163884964671331,0.026746253929645164,0.6991021400084719,0.014221846963310166,0.04845824000658468,0.001987428583703729,0.7475603800150565,0.015478606037395983,0.7179638076844733
Gradient boosting,0.6419373841255016,0.013493764514554654,0.4671552263368247,0.018630531409121576,0.48032557016578786,0.024843001522620818,0.5987734990784872,0.015554951394752605,0.44000595505220846,0.01505370325132761,2.9843272399855776,0.27282018236092254,0.008765040012076498,0.0007498105143377859,2.9930922799976543,0.27248262149336494,0.16047803583461995
Logistic regression,0.48127157501491447,0.01168135701737644,0.4824324253095778,0.014480602364612896,0.4403444660069509,0.01112569461557553,0.5059212836627888,0.010323630277732598,0.6877346274504343,0.01937648793164673,0.11632509998744353,0.012841947533719679,0.0061651000287383795,0.0012274072877495033,0.12249020001618191,0.012142347897366101,3.594936296526399
Random Forest,0.6413516254829108,0.01590824375162241,0.5911315026557677,0.023227859975634733,0.5747948994198896,0.019265126299635994,0.6455287712080919,0.01671212810884963,0.4394197679885955,0.016179660640728386,1.0896427399944515,0.12633348591858212,0.057232419995125385,0.005256919024755335,1.1468751599895768,0.1300461637836001,0.5011834936115571
