model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,weighted_f1_mean,weighted_f1_std,ordinal_mae_mean,ordinal_mae_std
Logistic regression,0.40246881107994703,0.011456133375159622,0.48346412670123307,0.010829232614093754,0.4676764924126995,0.017145011682776296,0.5215598905395525,0.00979388950053513,0.6687155188017921,0.005535528218178874
Random Forest,0.5897299686744557,0.019711258359058178,0.7167104548653098,0.007010083511282712,0.5922919341063291,0.025577633471866902,0.7124494724010206,0.007848568584795644,0.32206421816912134,0.012260647189431708
Extra Trees,0.594899230194315,0.02979201937688807,0.7234401993871437,0.008820216171972073,0.5957103943516084,0.03615349918624613,0.7209329229982429,0.010646909449495581,0.3146035873834293,0.008282046652438632
Gradient boosting,0.4976179784173711,0.02142193411367731,0.6963704170999967,0.0077915071804384875,0.4733510736972312,0.015854220097224262,0.6555723219541102,0.010457948982419417,0.3453326207263664,0.009473827648778941
ANN / MLP,0.4954578523278995,0.01499680438513616,0.6526188841560266,0.009433160060309653,0.49298281539320615,0.016537218239396217,0.650327868851304,0.010539580303919105,0.39976576080611703,0.011819400756543624
